"",BBK01.OEHK02M,BBK01.OEHK02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:31,
2002-01,1.925,
2002-04,1.919,
2002-07,1.967,
2002-10,2.073,
2003-01,2.039,
2003-04,2.089,
2003-07,2.093,
2003-10,2.240,
2004-01,2.142,
2004-04,2.169,
2004-07,2.243,
2004-10,2.378,
2005-01,2.347,
2005-04,2.377,
2005-07,2.419,
2005-10,2.593,
2006-01,2.447,
2006-04,2.398,
2006-07,2.404,
2006-10,2.588,
2007-01,2.464,
2007-04,2.516,
2007-07,2.493,
2007-10,2.729,
2008-01,2.530,
2008-04,2.488,
2008-07,2.513,
2008-10,2.730,
2009-01,3.017,
2009-04,3.107,
2009-07,3.263,
2009-10,3.541,
2010-01,3.449,
2010-04,3.443,
2010-07,3.563,
2010-10,3.761,
2011-01,3.563,
2011-04,3.506,
2011-07,3.526,
2011-10,3.740,
2012-01,3.652,
2012-04,3.691,
2012-07,3.820,
2012-10,4.131,
2013-01,4.059,
2013-04,4.086,
2013-07,4.303,
2013-10,4.593,
2014-01,4.666,
2014-04,4.648,
2014-07,4.800,
