"",BBEX3.M.BAM.USD.CA.AA.A01,BBEX3.M.BAM.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Bosnia and Hercegovina / USD 1 = BAM ... (buying),
unit,BAM (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:52,
1997-10,1.733800,
1997-11,1.738900,
1997-12,1.771300,
1998-01,1.783400,
1998-02,1.798100,
1998-03,1.815600,
1998-04,1.787500,
1998-05,1.761300,
1998-06,1.793900,
1998-07,1.780700,
1998-08,1.791300,
1998-09,1.663000,
1998-10,1.656000,
1998-11,1.701700,
1998-12,1.669400,
1999-01,1.687100,
1999-02,1.776000,
1999-03,1.791600,
1999-04,1.835700,
1999-05,1.836000,
1999-06,1.864800,
1999-07,1.836000,
1999-08,1.865700,
1999-09,1.864000,
1999-10,1.832900,
1999-11,1.922700,
1999-12,1.928200,
2000-01,1.942974,
2000-02,1.975636,
2000-03,2.020443,
2000-04,2.086568,
2000-05,2.132175,
2000-06,2.074586,
2000-07,2.074586,
2000-08,2.166749,
2000-09,2.221775,
2000-10,2.348832,
2000-11,2.278870,
2000-12,2.095532,
2001-01,2.122202,
2001-02,2.142713,
2001-03,2.201964,
2001-04,2.164585,
2001-05,2.281268,
2001-06,2.262747,
2001-07,2.225069,
2001-08,2.138720,
2001-09,2.116217,
2001-10,2.166508,
2001-11,2.209195,
2001-12,2.211198,
2002-01,2.262222,
2002-02,2.247109,
2002-03,2.232964,
2002-04,2.174719,
2002-05,2.093284,
2002-06,1.985892,
2002-07,1.983671,
2002-08,1.982058,
2002-09,1.995031,
2002-10,1.985690,
2002-11,1.963902,
2002-12,1.871944,
2003-01,1.815166,
2003-02,1.802754,
2003-03,1.818211,
2003-04,1.780705,
2003-05,1.659528,
2003-06,1.709402,
2003-07,1.708354,
2003-08,1.801755,
2003-09,1.709402,
2003-10,1.662356,
2003-11,1.639170,
2003-12,1.561252,
2004-01,1.564758,
2004-02,1.567776,
2004-03,1.600837,
2004-04,1.649704,
2004-05,1.593124,
2004-06,1.603205,
2004-07,1.622269,
2004-08,1.619441,
2004-09,1.583170,
2004-10,1.534844,
2004-11,1.472741,
2004-12,1.434093,
2005-01,1.496694,
2005-02,1.481915,
2005-03,1.507332,
2005-04,1.511771,
2005-05,1.564257,
2005-06,1.618501,
2005-07,1.612347,
2005-08,1.601626,
2005-09,1.617293,
2005-10,1.607300,
2005-11,1.654321,
2005-12,1.653760,
2006-01,1.614750,
2006-02,1.646085,
2006-03,1.612881,
2006-04,1.571564,
2006-05,1.519543,
2006-06,1.557139,
2006-07,1.540540,
2006-08,1.522031,
2006-09,1.541027,
2006-10,1.534120,
2006-11,1.482816,
2006-12,1.481352,
2007-01,1.503963,
2007-02,1.474634,
2007-03,1.464890,
2007-04,1.429994,
2007-05,1.453756,
2007-06,1.448682,
2007-07,1.428318,
2007-08,1.433461,
2007-09,1.375937,
2007-10,1.354161,
2007-11,1.323748,
2007-12,1.327893,
2008-01,1.317312,
2008-02,1.290219,
2008-03,1.235086,
2008-04,1.252932,
2008-05,1.254544,
2008-06,1.238850,
2008-07,1.251485,
2008-08,1.324018,
2008-09,1.359635,
2008-10,1.496694,
2008-11,1.532915,
2008-12,1.383842,
2009-01,1.522270,
2009-02,1.542977,
2009-03,1.478770,
2009-04,1.470632,
2009-05,1.383842,
2009-06,1.387780,
2009-07,1.388274,
2009-08,1.358215,
2009-09,1.340944,
2009-10,1.318203,
2009-11,1.307776,
2009-12,1.360678,
2010-01,1.396921,
2010-02,1.437687,
2010-03,1.447070,
2010-04,1.471741,
2010-05,1.575372,
2010-06,1.599393,
2010-07,1.492800,
2010-08,1.536174,
2010-09,1.433356,
2010-10,1.407909,
2010-11,1.484057,
2010-12,1.469082,
2011-01,1.423006,
2011-02,1.417629,
2011-03,1.384628,
2011-04,1.312881,
2011-05,1.366971,
2011-06,1.352471,
2011-07,1.368121,
2011-08,1.354632,
2011-09,1.432935,
2011-10,1.377783,
2011-11,1.462913,
2011-12,1.507798,
2012-01,1.488131,
2012-02,1.450082,
2012-03,1.460722,
2012-04,1.474745,
2012-05,1.568532,
2012-06,1.549595,
2012-07,1.593124,
2012-08,1.555278,
2012-09,1.508848,
2012-10,1.505123,
2012-11,1.501416,
2012-12,1.479891,
2013-01,1.440765,
2013-02,1.489609,
2013-03,1.523578,
2013-04,1.487791,
2013-05,1.507217,
2013-06,1.491545,
2013-07,1.468639,
2013-08,1.474077,
2013-09,1.441191,
2013-10,1.418350,
2013-11,1.433356,
2013-12,1.415468,
2014-01,1.437263,
2014-02,1.428632,
2014-03,1.417937,
2014-04,1.411066,
2014-05,1.433250,
2014-06,1.432409,
2014-07,1.455817,
2014-08,1.479330,
2014-09,1.536052,
2014-10,1.548611,
2014-11,1.562878,
2014-12,1.604392,
2015-01,1.725732,
"","General: On 11 August 1997, the convertible marka was introduced at the rate of BAD 100 = BAM 1. Initial exchange rates (buying/selling rate) to the US dollar on 1 October 1997: USD 1 = BAM 1.7555 / 1.7643.",
"","Source: Centralna Banka Bosne i Hercegovine, Sarajevo.",
