"",BBEX3.A.XCD.USD.CA.AA.A04,BBEX3.A.XCD.USD.CA.AA.A04_FLAGS
"",Exchange rates for the US dollar in the Eastern Caribbean Currency Union * / USD 1 = XCD ... (buying),
unit,XCD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:17:29,
1984,2.6882,
1985,2.6882,
1986,2.6882,
1987,2.6882,
1988,2.6882,
1989,2.6882,
1990,2.6882,
1991,2.6882,
1992,2.6882,
1993,2.6882,
1994,2.6882,
1995,2.6882,
1996,2.6882,
1997,2.6882,
1998,2.6882,
1999,2.6882,
2000,2.6882,
2001,2.6882,
2002,2.6882,
2003,2.6882,
2004,2.6882,
2005,2.6882,
2006,2.6882,
2007,2.6882,
2008,2.6882,
2009,2.6882,
2010,2.6882,
2011,2.6882,
2012,2.6882,
2013,2.6882,
2014,2.6882,
"","General: * The Eastern Caribbean Currency Union consists of the independent states of Antigua and Barbuda, Dominica, Grenada, St Kitts and Nevis, St Lucia, St Vincent and the Grenadines, as well as the British Overseas Territories of Anguilla and Montserrat. Pegged to the US dollar.",
"",Source: Eastern Caribbean Central Bank.,
