"",BBK01.CEF4J0,BBK01.CEF4J0_FLAGS
"",Loans                                             debtor:  Households                                  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:19,
1999-01,1365.5,
1999-04,1398.5,
1999-07,1416.9,
1999-10,1438.1,
2000-01,1442.0,
2000-04,1460.1,
2000-07,1471.6,
2000-10,1485.2,
2001-01,1484.9,
2001-04,1490.3,
2001-07,1501.2,
2001-10,1506.5,
2002-01,1501.9,
2002-04,1506.0,
2002-07,1513.2,
2002-10,1522.2,
2003-01,1518.6,
2003-04,1525.4,
2003-07,1534.5,
2003-10,1538.6,
2004-01,1527.5,
2004-04,1532.9,
2004-07,1541.2,
2004-10,1542.7,
2005-01,1529.1,
2005-04,1534.9,
2005-07,1538.4,
2005-10,1539.0,
2006-01,1538.8,
2006-04,1540.8,
2006-07,1545.4,
2006-10,1540.6,
2007-01,1531.4,
2007-04,1529.8,
2007-07,1526.5,
2007-10,1521.0,
2008-01,1510.4,
2008-04,1511.5,
2008-07,1510.7,
2008-10,1506.4,
2009-01,1498.3,
2009-04,1502.9,
2009-07,1506.3,
2009-10,1503.4,
2010-01,1497.4,
2010-04,1503.3,
2010-07,1508.1,
2010-10,1508.3,
2011-01,1504.3,
2011-04,1508.9,
2011-07,1520.3,
2011-10,1523.9,
2012-01,1521.8,
2012-04,1528.1,
2012-07,1534.1,
2012-10,1538.4,
2013-01,1534.8,
2013-04,1540.5,
2013-07,1548.5,
2013-10,1548.9,
2014-01,1549.3,
2014-04,1555.2,
2014-07,1564.6,
