"",BBK01.OEAF09K,BBK01.OEAF09K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:01,
2002-01,0.370,
2002-04,0.364,
2002-07,0.369,
2002-10,0.367,
2003-01,0.368,
2003-04,0.356,
2003-07,0.352,
2003-10,0.347,
2004-01,0.305,
2004-04,0.338,
2004-07,0.334,
2004-10,0.332,
2005-01,0.330,
2005-04,0.329,
2005-07,0.329,
2005-10,0.289,
2006-01,0.292,
2006-04,0.296,
2006-07,0.296,
2006-10,0.301,
2007-01,0.291,
2007-04,0.288,
2007-07,0.288,
2007-10,0.287,
2008-01,0.290,
2008-04,0.294,
2008-07,0.296,
2008-10,0.296,
2009-01,0.298,
2009-04,0.298,
2009-07,0.299,
2009-10,0.295,
2010-01,0.291,
2010-04,0.292,
2010-07,0.301,
2010-10,0.295,
2011-01,0.297,
2011-04,0.298,
2011-07,0.293,
2011-10,0.292,
2012-01,0.292,
2012-04,0.290,
2012-07,0.288,
2012-10,0.292,
2013-01,0.293,
2013-04,0.291,
2013-07,0.288,
2013-10,0.286,
2014-01,0.283,
2014-04,0.284,
2014-07,0.283,
