"",BBK01.OEAC15U,BBK01.OEAC15U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:15,
2002-01,1.088,
2002-04,1.075,
2002-07,1.049,
2002-10,1.035,
2003-01,1.061,
2003-04,1.046,
2003-07,1.016,
2003-10,0.986,
2004-01,0.976,
2004-04,0.959,
2004-07,0.950,
2004-10,0.923,
2005-01,0.915,
2005-04,0.888,
2005-07,0.862,
2005-10,0.867,
2006-01,0.869,
2006-04,0.857,
2006-07,0.840,
2006-10,0.845,
2007-01,0.836,
2007-04,0.815,
2007-07,0.799,
2007-10,0.795,
2008-01,0.794,
2008-04,0.798,
2008-07,0.791,
2008-10,0.786,
2009-01,0.798,
2009-04,0.818,
2009-07,0.795,
2009-10,0.773,
2010-01,0.799,
2010-04,0.808,
2010-07,0.805,
2010-10,0.781,
2011-01,0.802,
2011-04,0.798,
2011-07,0.783,
2011-10,0.771,
2012-01,0.784,
2012-04,0.788,
2012-07,0.800,
2012-10,0.768,
2013-01,0.765,
2013-04,0.761,
2013-07,0.758,
2013-10,0.742,
2014-01,0.736,
2014-04,0.731,
2014-07,0.727,
