"",BBK01.CEBV0N,BBK01.CEBV0N_FLAGS
"",longer-term savings deposits  debtor: All sectors                   creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:46,
1991-01,1.6,
1991-04,1.6,
1991-07,1.6,
1991-10,1.6,
1992-01,1.7,
1992-04,1.7,
1992-07,1.8,
1992-10,2.1,
1993-01,2.2,
1993-04,2.3,
1993-07,2.8,
1993-10,3.2,
1994-01,3.3,
1994-04,3.3,
1994-07,3.4,
1994-10,3.4,
1995-01,3.5,
1995-04,3.6,
1995-07,3.7,
1995-10,3.7,
1996-01,3.6,
1996-04,3.5,
1996-07,3.4,
1996-10,3.3,
1997-01,3.3,
1997-04,3.2,
1997-07,3.1,
1997-10,3.1,
1998-01,3.1,
1998-04,3.0,
1998-07,3.0,
1998-10,3.0,
1999-01,3.0,
1999-04,2.8,
1999-07,2.8,
1999-10,2.8,
2000-01,3.0,
2000-04,3.1,
2000-07,3.4,
2000-10,3.5,
2001-01,3.5,
2001-04,3.5,
2001-07,3.4,
2001-10,3.2,
2002-01,3.1,
2002-04,3.0,
2002-07,3.0,
2002-10,2.8,
2003-01,2.6,
2003-04,2.5,
2003-07,2.3,
2003-10,2.1,
2004-01,2.1,
2004-04,2.0,
2004-07,1.9,
2004-10,1.9,
2005-01,1.9,
2005-04,1.8,
2005-07,1.7,
2005-10,1.7,
2006-01,1.7,
2006-04,1.7,
2006-07,1.8,
2006-10,1.9,
2007-01,2.0,
2007-04,2.1,
2007-07,2.2,
2007-10,2.3,
2008-01,2.3,
2008-04,2.3,
2008-07,2.4,
2008-10,2.6,
2009-01,2.7,
2009-04,2.7,
2009-07,2.7,
2009-10,2.6,
2010-01,2.5,
2010-04,2.4,
2010-07,2.3,
2010-10,2.3,
2011-01,2.2,
2011-04,2.3,
2011-07,2.3,
2011-10,2.4,
2012-01,2.5,
2012-04,2.6,
2012-07,2.6,
2012-10,2.5,
2013-01,2.3,
2013-04,2.2,
2013-07,2.1,
2013-10,2.0,
2014-01,2.0,
