"",BBK01.SUD112S,BBK01.SUD112S_FLAGS
"",Effective interest rates of German banks / New business (estimated) / Revolving loans and overdrafts to households,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:39:56,
2000-01,9.8100,Estimated value
2000-02,9.9600,Estimated value
2000-03,10.0200,Estimated value
2000-04,10.2050,Estimated value
2000-05,10.2450,Estimated value
2000-06,10.4950,Estimated value
2000-07,10.8550,Estimated value
2000-08,10.8750,Estimated value
2000-09,10.9200,Estimated value
2000-10,11.1650,Estimated value
2000-11,11.2700,Estimated value
2000-12,11.2100,Estimated value
2001-01,11.3250,Estimated value
2001-02,11.2500,Estimated value
2001-03,11.2150,Estimated value
2001-04,11.2350,Estimated value
2001-05,11.1200,Estimated value
2001-06,11.2400,Estimated value
2001-07,11.1700,Estimated value
2001-08,11.1900,Estimated value
2001-09,11.0650,Estimated value
2001-10,11.0400,Estimated value
2001-11,10.9600,Estimated value
2001-12,10.8950,Estimated value
2002-01,10.8850,Estimated value
2002-02,10.8650,Estimated value
2002-03,10.8200,Estimated value
2002-04,10.9200,Estimated value
2002-05,10.9200,Estimated value
2002-06,10.9550,Estimated value
2002-07,10.9250,Estimated value
2002-08,10.9350,Estimated value
2002-09,10.9650,Estimated value
2002-10,10.9600,Estimated value
2002-11,10.8150,Estimated value
2002-12,10.9200,Estimated value
