"",BBFB1.Q.N.DE.FR.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.FR.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:19,
1991-01,-2106.997,
1991-04,198.794,
1991-07,-330.544,
1991-10,3248.216,
1992-01,-1400.500,
1992-04,-996.357,
1992-07,-499.816,
1992-10,550.207,
1993-01,2466.692,
1993-04,750.026,
1993-07,-158.384,
1993-10,5309.711,
1994-01,-4669.477,
1994-04,-833.124,
1994-07,-423.294,
1994-10,3093.317,
1995-01,-2582.873,
1995-04,1704.758,
1995-07,-2967.460,
1995-10,-4141.880,
1996-01,1785.820,
1996-04,895.498,
1996-07,-2839.772,
1996-10,4723.784,
1997-01,2142.732,
1997-04,3438.429,
1997-07,-2370.501,
1997-10,4388.720,
1998-01,1689.220,
1998-04,-326.859,
1998-07,418.132,
1998-10,5135.136,
1999-01,62815.760,
1999-04,40929.032,
1999-07,-70969.963,
1999-10,-20906.867,
2000-01,4781.335,
2000-04,8007.897,
2000-07,6795.962,
2000-10,-17625.804,
2001-01,8096.803,
2001-04,830.155,
2001-07,-3429.523,
2001-10,-3037.104,
2002-01,11329.351,
2002-04,7425.749,
2002-07,3835.066,
2002-10,-4070.008,
2003-01,9389.965,
2003-04,2200.848,
2003-07,3378.185,
2003-10,-4709.775,
2004-01,6337.708,
2004-04,4695.340,
2004-07,-632.504,
2004-10,5196.330,
2005-01,-5910.697,
2005-04,3951.871,
2005-07,-5678.212,
2005-10,-1839.847,
2006-01,4400.120,
2006-04,13391.693,
2006-07,-3513.552,
2006-10,-1604.977,
2007-01,18987.194,
2007-04,13371.250,
2007-07,-8790.449,
2007-10,10237.402,
2008-01,18202.299,
2008-04,-1545.418,
2008-07,3517.264,
2008-10,-5267.195,
2009-01,10229.502,
2009-04,11529.537,
2009-07,-5059.568,
2009-10,-935.820,
2010-01,3599.463,
2010-04,19585.924,
2010-07,7307.030,
2010-10,2399.788,
2011-01,6249.882,
2011-04,8176.925,
2011-07,9365.531,
2011-10,-41634.488,
2012-01,12800.607,
2012-04,-3463.246,
2012-07,6399.092,
2012-10,-4180.923,
2013-01,2787.000,
2013-04,3991.630,
2013-07,-7026.644,
2013-10,-9479.699,
2014-01,21000.186,Provisional value
2014-04,-1769.566,Provisional value
2014-07,3315.133,Provisional value
2014-10,-11714.430,Provisional value
