"",BBFB1.Q.N.DE.SG.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.SG.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Singapore,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:11,
1991-01,183.602,
1991-04,-117.567,
1991-07,-323.623,
1991-10,-89.021,
1992-01,-567.846,
1992-04,-216.682,
1992-07,180.436,
1992-10,478.259,
1993-01,-333.797,
1993-04,-123.668,
1993-07,608.660,
1993-10,1783.978,
1994-01,-722.473,
1994-04,-538.695,
1994-07,-836.051,
1994-10,-168.378,
1995-01,854.507,
1995-04,446.014,
1995-07,911.245,
1995-10,479.656,
1996-01,836.932,
1996-04,500.552,
1996-07,-172.103,
1996-10,1699.708,
1997-01,-928.436,
1997-04,448.190,
1997-07,1041.188,
1997-10,-355.003,
1998-01,-2336.947,
1998-04,-747.495,
1998-07,-884.069,
1998-10,582.663,
1999-01,-178.829,
1999-04,-1396.721,
1999-07,1423.374,
1999-10,2138.070,
2000-01,-52.150,
2000-04,966.919,
2000-07,3170.829,
2000-10,665.387,
2001-01,862.813,
2001-04,2109.911,
2001-07,-1565.057,
2001-10,2699.667,
2002-01,712.670,
2002-04,-259.442,
2002-07,1315.741,
2002-10,414.635,
2003-01,-837.171,
2003-04,398.834,
2003-07,569.149,
2003-10,-2093.783,
2004-01,2151.905,
2004-04,-928.733,
2004-07,-1533.395,
2004-10,1287.790,
2005-01,-560.293,
2005-04,4403.310,
2005-07,-3654.552,
2005-10,-376.742,
2006-01,-227.414,
2006-04,3314.070,
2006-07,-186.240,
2006-10,9.442,
2007-01,2784.708,
2007-04,1434.604,
2007-07,3469.065,
2007-10,334.820,
2008-01,836.707,
2008-04,5593.136,
2008-07,6142.007,
2008-10,-3364.831,
2009-01,-1872.253,
2009-04,-1207.833,
2009-07,-611.097,
2009-10,-1967.153,
2010-01,308.283,
2010-04,1212.969,
2010-07,-1797.974,
2010-10,4018.842,
2011-01,-2802.950,
2011-04,-240.828,
2011-07,-2768.281,
2011-10,1518.383,
2012-01,156.442,
2012-04,-930.662,
2012-07,-1744.501,
2012-10,-115.863,
2013-01,2466.534,
2013-04,-179.346,
2013-07,1462.350,
2013-10,2364.508,
2014-01,-2223.362,Provisional value
2014-04,2352.083,Provisional value
2014-07,-296.425,Provisional value
2014-10,-5947.226,Provisional value
