"",BBFB1.Q.N.DE.TR.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.TR.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:51,
1991-01,-488.710,
1991-04,175.423,
1991-07,279.602,
1991-10,-76.955,
1992-01,-461.699,
1992-04,12.358,
1992-07,245.079,
1992-10,256.702,
1993-01,275.918,
1993-04,400.544,
1993-07,884.723,
1993-10,48.127,
1994-01,-2302.999,
1994-04,311.262,
1994-07,115.647,
1994-10,-95.655,
1995-01,918.737,
1995-04,154.040,
1995-07,699.639,
1995-10,-1112.838,
1996-01,450.964,
1996-04,359.074,
1996-07,536.311,
1996-10,455.018,
1997-01,1065.477,
1997-04,246.336,
1997-07,-207.630,
1997-10,927.148,
1998-01,-452.377,
1998-04,1176.287,
1998-07,1600.772,
1998-10,868.354,
1999-01,1234.881,
1999-04,-11.050,
1999-07,-153.022,
1999-10,941.415,
2000-01,-315.276,
2000-04,-1438.876,
2000-07,-8.174,
2000-10,-524.282,
2001-01,533.197,
2001-04,489.326,
2001-07,-204.308,
2001-10,-1088.827,
2002-01,-773.167,
2002-04,978.737,
2002-07,248.834,
2002-10,-3460.096,
2003-01,-1800.975,
2003-04,271.254,
2003-07,544.503,
2003-10,1559.933,
2004-01,-15.689,
2004-04,-924.941,
2004-07,1051.713,
2004-10,-1613.217,
2005-01,-335.010,
2005-04,563.000,
2005-07,1100.436,
2005-10,1531.260,
2006-01,560.417,
2006-04,378.254,
2006-07,21.851,
2006-10,2987.849,
2007-01,-1613.461,
2007-04,1459.992,
2007-07,1166.795,
2007-10,742.078,
2008-01,-1054.016,
2008-04,1390.032,
2008-07,-253.641,
2008-10,-264.470,
2009-01,-190.820,
2009-04,-748.830,
2009-07,426.158,
2009-10,-509.893,
2010-01,454.378,
2010-04,1206.751,
2010-07,-226.602,
2010-10,-137.529,
2011-01,1205.937,
2011-04,1956.446,
2011-07,947.954,
2011-10,1762.481,
2012-01,3903.457,
2012-04,2758.089,
2012-07,-168.179,
2012-10,293.271,
2013-01,586.153,
2013-04,-93.278,
2013-07,-259.448,
2013-10,317.474,
2014-01,-646.895,Provisional value
2014-04,2507.440,Provisional value
2014-07,-1863.467,Provisional value
2014-10,-643.722,Provisional value
