"",BBK01.OEBI09J,BBK01.OEBI09J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:07,
2002-01,0.182,
2002-04,0.173,
2002-07,0.175,
2002-10,0.166,
2003-01,0.149,
2003-04,0.137,
2003-07,0.127,
2003-10,0.122,
2004-01,0.112,
2004-04,0.104,
2004-07,0.099,
2004-10,0.097,
2005-01,0.098,
2005-04,0.095,
2005-07,0.085,
2005-10,0.084,
2006-01,0.085,
2006-04,0.093,
2006-07,0.098,
2006-10,0.107,
2007-01,0.142,
2007-04,0.159,
2007-07,0.179,
2007-10,0.201,
2008-01,0.215,
2008-04,0.223,
2008-07,0.233,
2008-10,0.321,
2009-01,0.338,
2009-04,0.343,
2009-07,0.369,
2009-10,0.320,
2010-01,0.272,
2010-04,0.283,
2010-07,0.275,
2010-10,0.317,
2011-01,0.371,
2011-04,0.382,
2011-07,0.386,
2011-10,0.380,
2012-01,0.344,
2012-04,0.325,
2012-07,0.287,
2012-10,0.242,
2013-01,0.183,
2013-04,0.163,
2013-07,0.151,
2013-10,0.142,
2014-01,0.138,
2014-04,0.130,
2014-07,0.150,
