"",BBK01.OELB04K,BBK01.OELB04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:47,
2002-01,2.732,
2002-04,2.780,
2002-07,2.792,
2002-10,2.782,
2003-01,2.772,
2003-04,2.786,
2003-07,2.817,
2003-10,2.870,
2004-01,2.892,
2004-04,2.968,
2004-07,2.998,
2004-10,3.293,
2005-01,3.267,
2005-04,3.295,
2005-07,3.332,
2005-10,3.412,
2006-01,3.426,
2006-04,3.451,
2006-07,3.478,
2006-10,3.363,
2007-01,3.361,
2007-04,3.397,
2007-07,3.386,
2007-10,3.396,
2008-01,3.399,
2008-04,3.418,
2008-07,3.444,
2008-10,3.477,
2009-01,3.474,
2009-04,3.523,
2009-07,3.587,
2009-10,3.629,
2010-01,3.645,
2010-04,3.898,
2010-07,3.956,
2010-10,3.975,
2011-01,4.045,
2011-04,4.137,
2011-07,4.216,
2011-10,4.302,
2012-01,4.345,
2012-04,5.367,
2012-07,5.423,
2012-10,5.512,
2013-01,5.659,
2013-04,5.702,
2013-07,5.812,
2013-10,5.846,
2014-01,6.102,
2014-04,6.173,
2014-07,6.281,
