"",BBK01.OEAF38N,BBK01.OEAF38N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:51,
2002-01,2.746,
2002-04,2.825,
2002-07,2.740,
2002-10,2.854,
2003-01,2.778,
2003-04,2.759,
2003-07,2.841,
2003-10,2.817,
2004-01,2.791,
2004-04,2.764,
2004-07,2.598,
2004-10,2.621,
2005-01,2.693,
2005-04,2.708,
2005-07,3.190,
2005-10,3.240,
2006-01,3.804,
2006-04,3.815,
2006-07,3.755,
2006-10,3.926,
2007-01,3.892,
2007-04,3.825,
2007-07,3.921,
2007-10,3.902,
2008-01,3.847,
2008-04,3.852,
2008-07,3.726,
2008-10,3.816,
2009-01,3.799,
2009-04,3.593,
2009-07,3.836,
2009-10,3.842,
2010-01,3.836,
2010-04,3.817,
2010-07,3.910,
2010-10,3.958,
2011-01,3.940,
2011-04,3.904,
2011-07,3.872,
2011-10,3.863,
2012-01,3.894,
2012-04,3.870,
2012-07,3.795,
2012-10,3.791,
2013-01,3.793,
2013-04,3.808,
2013-07,3.791,
2013-10,3.837,
2014-01,3.960,
2014-04,3.949,
2014-07,3.878,
