"",BBK01.OUH365,BBK01.OUH365_FLAGS
"",Loans to foreign non-banks for over five years / Savings banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:59:27,
1999-01,1.750,
1999-02,1.728,
1999-03,1.730,
1999-04,1.718,
1999-05,1.809,
1999-06,1.872,
1999-07,1.881,
1999-08,1.897,
1999-09,1.915,
1999-10,1.965,
1999-11,2.007,
1999-12,2.032,
2000-01,1.988,
2000-02,1.977,
2000-03,2.039,
2000-04,2.063,
2000-05,2.069,
2000-06,2.117,
2000-07,2.165,
2000-08,2.191,
2000-09,2.202,
2000-10,2.214,
2000-11,2.224,
2000-12,2.238,
2001-01,2.649,
2001-02,2.701,
2001-03,2.759,
2001-04,2.726,
2001-05,2.779,
2001-06,2.784,
2001-07,2.748,
2001-08,2.780,
2001-09,2.786,
2001-10,2.796,
2001-11,2.793,
2001-12,2.830,
2002-01,2.854,
2002-02,2.872,
2002-03,2.882,
2002-04,2.897,
2002-05,2.886,
2002-06,2.888,
2002-07,2.884,
2002-08,2.922,
2002-09,2.916,
2002-10,2.945,
2002-11,2.948,
2002-12,2.945,
2003-01,2.922,
2003-02,2.922,
2003-03,2.914,
2003-04,2.932,
2003-05,2.922,
2003-06,2.925,
2003-07,2.950,
2003-08,2.956,
2003-09,2.913,
2003-10,2.961,
2003-11,2.886,
2003-12,2.906,
2004-01,2.904,
2004-02,2.924,
2004-03,2.933,
2004-04,2.929,
2004-05,2.923,
2004-06,2.908,
2004-07,2.874,
2004-08,2.884,
2004-09,2.892,
2004-10,2.942,
2004-11,2.990,
2004-12,2.956,
2005-01,2.952,
2005-02,2.957,
2005-03,2.936,
2005-04,2.946,
2005-05,3.025,
2005-06,3.049,
2005-07,2.989,
2005-08,3.000,
2005-09,3.007,
2005-10,3.000,
2005-11,3.016,
2005-12,3.031,
2006-01,3.060,
2006-02,3.067,
2006-03,3.117,
2006-04,3.135,
2006-05,3.178,
2006-06,3.160,
2006-07,3.187,
2006-08,3.189,
2006-09,3.232,
2006-10,3.242,
2006-11,3.275,
2006-12,3.283,
2007-01,3.323,
2007-02,3.357,
2007-03,3.408,
2007-04,3.397,
2007-05,3.458,
2007-06,3.521,
2007-07,3.595,
2007-08,3.616,
2007-09,3.683,
2007-10,3.749,
2007-11,3.916,
2007-12,4.013,
2008-01,4.048,
2008-02,4.056,
2008-03,4.053,
2008-04,4.164,
2008-05,4.223,
2008-06,4.465,
2008-07,4.497,
2008-08,4.598,
2008-09,4.684,
2008-10,4.784,
2008-11,4.842,
2008-12,4.884,
2009-01,4.888,
2009-02,4.913,
2009-03,4.914,
2009-04,5.002,
2009-05,4.935,
2009-06,4.953,
2009-07,4.975,
2009-08,5.007,
2009-09,5.010,
2009-10,5.059,
2009-11,5.053,
2009-12,5.091,
2010-01,5.073,
2010-02,5.091,
2010-03,5.096,
2010-04,5.112,
2010-05,5.119,
2010-06,5.139,
2010-07,5.121,
2010-08,5.197,
2010-09,5.221,
2010-10,5.224,
2010-11,5.242,
2010-12,5.251,
2011-01,5.047,
2011-02,5.068,
2011-03,5.103,
2011-04,5.105,
2011-05,5.140,
2011-06,5.165,
2011-07,5.180,
2011-08,5.175,
2011-09,5.284,
2011-10,5.278,
2011-11,5.309,
2011-12,5.300,
2012-01,5.287,
2012-02,5.460,
2012-03,5.444,
2012-04,5.555,
2012-05,5.632,
2012-06,5.669,
2012-07,5.701,
2012-08,5.789,
2012-09,5.817,
2012-10,5.854,
2012-11,5.857,
2012-12,5.916,
2013-01,5.919,
2013-02,5.970,
2013-03,5.981,
2013-04,5.947,
2013-05,6.005,
2013-06,6.097,
2013-07,6.104,
2013-08,6.144,
2013-09,6.100,
2013-10,6.126,
2013-11,6.149,
2013-12,6.156,
2014-01,6.173,
2014-02,6.187,
2014-03,6.222,
2014-04,6.243,
2014-05,6.258,
2014-06,6.277,
2014-07,6.365,
2014-08,6.358,
2014-09,6.385,
2014-10,6.395,
2014-11,6.405,
2014-12,6.443,Provisional value
