"",BBK01.OELB12Q,BBK01.OELB12Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:59,
2002-01,0.934,
2002-04,0.971,
2002-07,0.991,
2002-10,1.030,
2003-01,1.051,
2003-04,1.067,
2003-07,1.094,
2003-10,1.127,
2004-01,1.143,
2004-04,1.153,
2004-07,1.212,
2004-10,1.244,
2005-01,1.261,
2005-04,1.289,
2005-07,1.205,
2005-10,1.264,
2006-01,1.277,
2006-04,1.812,
2006-07,1.828,
2006-10,1.828,
2007-01,1.813,
2007-04,1.842,
2007-07,1.918,
2007-10,1.961,
2008-01,1.974,
2008-04,2.052,
2008-07,2.100,
2008-10,2.138,
2009-01,2.155,
2009-04,2.190,
2009-07,2.253,
2009-10,2.354,
2010-01,2.411,
2010-04,2.536,
2010-07,2.654,
2010-10,2.784,
2011-01,2.833,
2011-04,2.915,
2011-07,2.879,
2011-10,2.632,
2012-01,2.670,
2012-04,2.764,
2012-07,2.822,
2012-10,2.868,
2013-01,2.934,
2013-04,3.018,
2013-07,3.097,
2013-10,3.218,
2014-01,3.299,
2014-04,3.397,
2014-07,3.599,
