"",BBK01.OEAB02L,BBK01.OEAB02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:05,
2002-01,146.928,
2002-04,130.909,
2002-07,132.854,
2002-10,123.028,
2003-01,150.295,
2003-04,148.073,
2003-07,149.562,
2003-10,150.130,
2004-01,175.426,
2004-04,158.758,
2004-07,172.533,
2004-10,166.772,
2005-01,171.038,
2005-04,173.429,
2005-07,181.617,
2005-10,166.508,
2006-01,174.125,
2006-04,178.424,
2006-07,186.517,
2006-10,160.172,
2007-01,185.740,
2007-04,199.096,
2007-07,183.523,
2007-10,166.859,
2008-01,207.838,
2008-04,181.909,
2008-07,188.093,
2008-10,149.897,
2009-01,162.206,
2009-04,163.030,
2009-07,144.384,
2009-10,123.823,
2010-01,117.205,
2010-04,129.100,
2010-07,108.633,
2010-10,114.963,
2011-01,124.565,
2011-04,129.687,
2011-07,133.003,
2011-10,114.076,
2012-01,128.556,
2012-04,123.355,
2012-07,124.524,
2012-10,121.724,
2013-01,131.967,
2013-04,139.737,
2013-07,94.995,
2013-10,97.966,
2014-01,101.160,
2014-04,106.237,
2014-07,103.776,
