"",BBSF2.M.1.S.I1250.TOT01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1250.TOT01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Number / Insurance corporations / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:48:10,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,984,
1993-05,990,
1993-06,990,
1993-07,994,
1993-08,997,
1993-09,1001,
1993-10,1010,
1993-11,1009,
1993-12,1025,
1994-01,1032,
1994-02,1043,
1994-03,1048,
1994-04,1056,
1994-05,1060,
1994-06,1062,
1994-07,1071,
1994-08,1077,
1994-09,1082,
1994-10,1084,
1994-11,1086,
1994-12,1087,
1995-01,1085,
1995-02,1092,
1995-03,1094,
1995-04,1097,
1995-05,1098,
1995-06,1102,
1995-07,1103,
1995-08,1104,
1995-09,1098,
1995-10,1099,
1995-11,1093,
1995-12,1106,
1996-01,1124,
1996-02,1129,
1996-03,1139,
1996-04,1145,
1996-05,1145,
1996-06,1148,
1996-07,1154,
1996-08,1156,
1996-09,1155,
1996-10,1165,
1996-11,1166,
1996-12,1179,
1997-01,1195,
1997-02,1205,
1997-03,1219,
1997-04,1225,
1997-05,1231,
1997-06,1249,
1997-07,1259,
1997-08,1273,
1997-09,1279,
1997-10,1281,
1997-11,1298,
1997-12,1309,
1998-01,1322,
1998-02,1334,
1998-03,1352,
1998-04,1350,
1998-05,1358,
1998-06,1362,
1998-07,1385,
1998-08,1397,
1998-09,1404,
1998-10,1410,
1998-11,1427,
1998-12,1441,
1999-01,1455,
1999-02,1458,
1999-03,1466,
1999-04,1473,
1999-05,1480,
1999-06,1485,
1999-07,1496,
1999-08,1509,
1999-09,1513,
1999-10,1521,
1999-11,1517,
1999-12,1517,
2000-01,1525,
2000-02,1531,
2000-03,1535,
2000-04,1552,
2000-05,1558,
2000-06,1564,
2000-07,1577,
2000-08,1582,
2000-09,1591,
2000-10,1602,
2000-11,1589,
2000-12,1594,
2001-01,1611,
2001-02,1623,
2001-03,1623,
2001-04,1628,
2001-05,1628,
2001-06,1633,
2001-07,1647,
2001-08,1653,
2001-09,1651,
2001-10,1643,
2001-11,1627,
2001-12,1623,
2002-01,1623,
2002-02,1626,
2002-03,1634,
2002-04,1640,
2002-05,1633,
2002-06,1634,
2002-07,1621,
2002-08,1621,
2002-09,1618,
2002-10,1622,
2002-11,1606,
2002-12,1603,
2003-01,1600,
2003-02,1587,
2003-03,1570,
2003-04,1564,
2003-05,1556,
2003-06,1547,
2003-07,1538,
2003-08,1542,
2003-09,1538,
2003-10,1540,
2003-11,1521,
2003-12,1505,
2004-01,1487,
2004-02,1446,
2004-03,1418,
2004-04,1349,
2004-05,1341,
2004-06,1332,
2004-07,1320,
2004-08,1310,
2004-09,1295,
2004-10,1281,
2004-11,1269,
2004-12,1250,
2005-01,1248,
2005-02,1244,
2005-03,1239,
2005-04,1236,
2005-05,1220,
2005-06,1224,
2005-07,1218,
2005-08,1181,
2005-09,1156,
2005-10,925,
2005-11,921,
2005-12,908,
2006-01,912,
2006-02,915,
2006-03,911,
2006-04,901,
2006-05,892,
2006-06,886,
2006-07,895,
2006-08,891,
2006-09,890,
2006-10,884,
2006-11,872,
2006-12,861,
2007-01,848,
2007-02,844,
2007-03,845,
2007-04,828,
2007-05,821,
2007-06,816,
2007-07,813,
2007-08,813,
2007-09,809,
2007-10,809,
2007-11,809,
2007-12,801,
2008-01,797,
2008-02,804,
2008-03,800,
2008-04,797,
2008-05,793,
2008-06,791,
2008-07,789,
2008-08,788,
2008-09,783,
2008-10,759,
2008-11,746,
2008-12,746,
2009-01,746,
2009-02,740,
2009-03,731,
2009-04,729,
2009-05,729,
2009-06,726,
2009-07,724,
2009-08,715,
2009-09,667,
2009-10,660,
2009-11,642,
2009-12,635,
2010-01,638,
2010-02,635,
2010-03,633,
2010-04,630,
2010-05,621,
2010-06,605,
2010-07,593,
2010-08,597,
2010-09,613,
2010-10,615,
2010-11,615,
2010-12,612,
2011-01,614,
2011-02,616,
2011-03,615,
2011-04,619,
2011-05,618,
2011-06,620,
2011-07,621,
2011-08,619,
2011-09,621,
2011-10,630,
2011-11,626,
2011-12,619,
2012-01,614,
2012-02,617,
2012-03,621,
2012-04,620,
2012-05,616,
2012-06,615,
2012-07,618,
2012-08,617,
2012-09,633,
2012-10,642,
2012-11,633,
2012-12,624,
2013-01,624,
2013-02,621,
2013-03,629,
2013-04,613,
2013-05,605,
2013-06,606,
2013-07,619,
2013-08,618,
2013-09,617,
2013-10,610,
2013-11,604,
2013-12,600,
2014-01,593,
2014-02,596,
2014-03,588,
2014-04,587,
2014-05,587,
2014-06,589,
2014-07,573,
2014-08,574,
2014-09,575,
2014-10,575,
2014-11,576,
