"",BBK01.OEHO02U,BBK01.OEHO02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:04,
2002-01,0.935,
2002-04,0.555,
2002-07,0.637,
2002-10,0.758,
2003-01,0.731,
2003-04,0.535,
2003-07,0.559,
2003-10,0.739,
2004-01,0.717,
2004-04,0.513,
2004-07,0.495,
2004-10,0.640,
2005-01,0.586,
2005-04,0.542,
2005-07,0.482,
2005-10,0.683,
2006-01,0.659,
2006-04,0.497,
2006-07,0.520,
2006-10,0.712,
2007-01,0.642,
2007-04,0.508,
2007-07,0.566,
2007-10,0.673,
2008-01,0.562,
2008-04,0.472,
2008-07,0.544,
2008-10,0.651,
2009-01,0.627,
2009-04,0.570,
2009-07,0.655,
2009-10,0.961,
2010-01,0.626,
2010-04,0.488,
2010-07,0.449,
2010-10,0.526,
2011-01,0.501,
2011-04,0.445,
2011-07,0.424,
2011-10,0.534,
2012-01,0.475,
2012-04,0.451,
2012-07,0.448,
2012-10,0.529,
2013-01,0.515,
2013-04,0.380,
2013-07,0.372,
2013-10,0.417,
2014-01,0.411,
2014-04,0.378,
2014-07,0.363,
