"",BBK01.CEHU20,BBK01.CEHU20_FLAGS
"",short-term savings deposits debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:17,
1991-01,-1.4,
1991-04,-2.1,
1991-07,0.3,
1991-10,4.0,
1992-01,0.6,
1992-04,1.8,
1992-07,1.2,
1992-10,1.5,
1993-01,10.7,
1993-04,4.1,
1993-07,4.9,
1993-10,14.2,
1994-01,11.2,
1994-04,6.5,
1994-07,8.0,
1994-10,9.3,
1995-01,10.9,
1995-04,9.4,
1995-07,12.6,
1995-10,20.0,
1996-01,24.4,
1996-04,11.7,
1996-07,9.4,
1996-10,15.3,
1997-01,14.7,
1997-04,5.3,
1997-07,5.5,
1997-10,5.4,
1998-01,8.6,
1998-04,2.3,
1998-07,3.0,
1998-10,7.6,
1999-01,7.7,
1999-04,5.4,
1999-07,-0.8,
1999-10,-4.7,
2000-01,-12.1,
2000-04,-16.6,
2000-07,-13.1,
2000-10,-12.7,
2001-01,-3.8,
2001-04,0.7,
2001-07,3.4,
2001-10,11.6,
2002-01,4.9,
2002-04,-6.3,
2002-07,2.5,
2002-10,9.3,
2003-01,11.7,
2003-04,5.4,
2003-07,8.3,
2003-10,2.5,
2004-01,5.2,
2004-04,3.5,
2004-07,4.1,
2004-10,1.6,
2005-01,2.9,
2005-04,1.1,
2005-07,2.0,
2005-10,-3.9,
2006-01,-1.2,
2006-04,-5.4,
2006-07,-9.8,
2006-10,-15.7,
2007-01,-10.6,
2007-04,-9.8,
2007-07,-10.7,
2007-10,-10.6,
2008-01,-5.8,
2008-04,-4.2,
2008-07,-8.9,
2008-10,-2.3,
2009-01,14.5,
2009-04,11.4,
2009-07,14.3,
2009-10,10.9,
2010-01,14.2,
2010-04,6.4,
2010-07,9.8,
2010-10,8.5,
2011-01,7.4,
2011-04,-3.8,
2011-07,-2.0,
2011-10,-0.3,
2012-01,8.3,
2012-04,0.6,
2012-07,3.5,
2012-10,2.0,
2013-01,2.1,
2013-04,0.8,
2013-07,0.4,
2013-10,0.5,
2014-01,-0.4,
