"",BBK01.XS8889,BBK01.XS8889_FLAGS
"",Imports / Value / 27+28 Basic metals and fabricated metal products / Seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-28 07:39:33,
1995-01,2.30,
1995-02,2.93,
1995-03,2.93,
1995-04,2.73,
1995-05,2.63,
1995-06,2.66,
1995-07,2.57,
1995-08,2.55,
1995-09,2.69,
1995-10,2.69,
1995-11,2.60,
1995-12,2.71,
1996-01,2.52,
1996-02,2.47,
1996-03,2.41,
1996-04,2.43,
1996-05,2.30,
1996-06,2.35,
1996-07,2.38,
1996-08,2.13,
1996-09,2.41,
1996-10,2.47,
1996-11,2.43,
1996-12,2.51,
1997-01,2.53,
1997-02,2.41,
1997-03,2.49,
1997-04,2.53,
1997-05,2.69,
1997-06,2.79,
1997-07,2.87,
1997-08,2.93,
1997-09,2.82,
1997-10,2.75,
1997-11,3.10,
1997-12,2.83,
1998-01,3.09,
1998-02,3.26,
1998-03,2.85,
1998-04,3.44,
1998-05,2.70,
1998-06,3.08,
1998-07,3.00,
1998-08,2.98,
1998-09,2.66,
1998-10,2.88,
1998-11,2.70,
1998-12,2.90,
1999-01,2.61,
1999-02,2.75,
1999-03,2.70,
1999-04,2.76,
1999-05,2.81,
1999-06,2.69,
1999-07,2.78,
1999-08,2.72,
1999-09,2.78,
1999-10,2.78,
1999-11,2.94,
1999-12,2.80,
2000-01,3.22,
2000-02,3.34,
2000-03,3.37,
2000-04,3.22,
2000-05,3.63,
2000-06,3.44,
2000-07,3.48,
2000-08,3.65,
2000-09,3.75,
2000-10,3.65,
2000-11,3.82,
2000-12,3.76,
2001-01,3.66,
2001-02,3.71,
2001-03,3.62,
2001-04,3.72,
2001-05,3.64,
2001-06,3.53,
2001-07,3.49,
2001-08,3.22,
2001-09,3.23,
2001-10,3.28,
2001-11,3.21,
2001-12,3.21,
2002-01,3.09,
2002-02,3.14,
2002-03,3.27,
2002-04,3.34,
2002-05,3.04,
2002-06,3.40,
2002-07,3.14,
2002-08,3.49,
2002-09,3.23,
2002-10,3.25,
2002-11,3.28,
2002-12,3.33,
2003-01,3.34,
2003-02,3.31,
2003-03,3.40,
2003-04,3.28,
2003-05,3.25,
2003-06,3.24,
2003-07,3.12,
2003-08,3.17,
2003-09,3.30,
2003-10,3.27,
2003-11,3.55,
2003-12,3.42,
2004-01,3.59,
2004-02,3.72,
2004-03,3.67,
2004-04,3.80,
2004-05,3.73,
2004-06,3.73,
2004-07,4.15,
2004-08,4.27,
2004-09,4.29,
2004-10,4.31,
2004-11,4.42,
2004-12,4.26,
2005-01,4.32,
2005-02,4.63,
2005-03,4.25,
2005-04,4.39,
2005-05,4.81,
2005-06,4.17,
2005-07,4.49,
2005-08,4.39,
2005-09,4.64,
2005-10,4.67,
2005-11,4.70,
2005-12,5.14,
2006-01,5.18,
2006-02,5.27,
2006-03,5.38,
2006-04,5.65,
2006-05,5.82,
2006-06,5.82,
2006-07,6.21,
2006-08,6.23,
2006-09,6.75,
2006-10,6.76,
2006-11,6.99,
2006-12,7.10,
2007-01,7.41,
2007-02,7.44,
2007-03,7.36,
2007-04,7.40,
2007-05,7.40,
2007-06,7.60,
2007-07,7.21,
2007-08,7.49,
2007-09,7.19,
2007-10,7.19,
2007-11,6.81,
2007-12,6.85,
2008-01,6.99,
2008-02,6.83,
2008-03,7.00,
2008-04,6.95,
2008-05,7.44,
2008-06,7.56,
2008-07,7.40,
2008-08,7.36,
2008-09,7.21,
2008-10,7.02,
2008-11,6.13,
2008-12,5.30,
