"",BBK01.OEAK03O,BBK01.OEAK03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:19,
2002-01,1.165,
2002-04,1.127,
2002-07,1.108,
2002-10,1.117,
2003-01,1.108,
2003-04,1.060,
2003-07,1.054,
2003-10,1.014,
2004-01,1.012,
2004-04,0.986,
2004-07,0.954,
2004-10,0.950,
2005-01,1.017,
2005-04,0.996,
2005-07,0.994,
2005-10,1.035,
2006-01,1.045,
2006-04,1.080,
2006-07,1.156,
2006-10,1.217,
2007-01,1.244,
2007-04,1.248,
2007-07,1.365,
2007-10,1.521,
2008-01,1.562,
2008-04,1.649,
2008-07,1.744,
2008-10,2.062,
2009-01,1.640,
2009-04,1.426,
2009-07,1.231,
2009-10,1.245,
2010-01,1.026,
2010-04,1.083,
2010-07,1.000,
2010-10,0.976,
2011-01,0.961,
2011-04,0.959,
2011-07,0.995,
2011-10,1.012,
2012-01,0.976,
2012-04,0.941,
2012-07,0.827,
2012-10,0.775,
2013-01,0.679,
2013-04,0.629,
2013-07,0.599,
2013-10,0.598,
2014-01,0.590,
2014-04,0.614,
2014-07,0.591,
