"",BBK01.BQM208,BBK01.BQM208_FLAGS
"",State government debt - of which loans - of which short-term,
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:38,
2000-01,5551,
2000-04,3235,
2000-07,3880,
2000-10,6661,
2001-01,4712,
2001-04,5201,
2001-07,4832,
2001-10,9075,
2002-01,9778,
2002-04,5981,
2002-07,5961,
2002-10,9464,
2003-01,6698,
2003-04,5409,
2003-07,7932,
2003-10,10019,
2004-01,7703,
2004-04,6387,
2004-07,7443,
2004-10,7183,
2005-01,4835,
2005-04,3944,
2005-07,5818,
2005-10,5004,
2006-01,6888,
2006-04,4061,
2006-07,6717,
2006-10,4783,
2007-01,7127,
2007-04,5152,
2007-07,5824,
2007-10,5382,
2008-01,7960,
2008-04,7664,
2008-07,8015,
2008-10,7481,
2009-01,10532,
2009-04,6279,
2009-07,8132,
2009-10,5934,
2010-01,7246,Provisional value
2010-04,17170,Provisional value
2010-07,16462,Provisional value
2010-10,17376,Provisional value
2011-01,16847,Provisional value
2011-04,9946,Provisional value
2011-07,9758,Provisional value
2011-10,14245,Provisional value
2012-01,11152,Provisional value
2012-04,20303,Provisional value
2012-07,28287,Provisional value
2012-10,17887,Provisional value
2013-01,14394,Provisional value
2013-04,10077,Provisional value
2013-07,9004,Provisional value
2013-10,13451,Provisional value
2014-01,11845,Provisional value
2014-04,12555,Provisional value
2014-07,11991,Provisional value
