"",BBK01.QUY680,BBK01.QUY680_FLAGS
"",Consolidated German banks: Loans and advances to foreign general government / International Organisations / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:41:08,
2002-03,2.310,
2002-04,2.394,
2002-05,2.174,
2002-06,2.127,
2002-07,2.061,
2002-08,2.247,
2002-09,1.969,
2002-10,1.977,
2002-11,2.172,
2002-12,2.019,
2003-01,2.486,
2003-02,2.315,
2003-03,2.340,
2003-04,2.143,
2003-05,2.082,
2003-06,2.457,
2003-07,2.031,
2003-08,1.973,
2003-09,1.842,
2003-10,1.768,
2003-11,1.861,
2003-12,1.974,
2004-01,1.932,
2004-02,1.906,
2004-03,1.901,
2004-04,1.789,
2004-05,1.906,
2004-06,1.817,
2004-07,1.878,
2004-08,1.874,
2004-09,1.828,
2004-10,1.708,
2004-11,1.898,
2004-12,2.068,
2005-01,2.089,
2005-02,2.814,
2005-03,2.448,
2005-04,3.206,
2005-05,2.835,
2005-06,3.019,
2005-07,2.825,
2005-08,2.777,
2005-09,2.740,
2005-10,2.897,
2005-11,2.825,
2005-12,3.615,
2006-01,3.063,
2006-02,2.810,
2006-03,2.932,
2006-04,2.985,
2006-05,2.950,
2006-06,2.990,
2006-07,2.624,
2006-08,3.011,
2006-09,3.140,
2006-10,3.786,
2006-11,3.218,
2006-12,3.583,
2007-01,2.590,
2007-02,2.093,
2007-03,2.084,
2007-04,1.990,
2007-05,2.228,
2007-06,2.525,
2007-07,2.126,
2007-08,1.635,
2007-09,1.547,
2007-10,1.955,
2007-11,1.533,
2007-12,1.586,
2008-01,2.167,
2008-02,1.577,
2008-03,1.515,
2008-04,1.568,
2008-05,2.114,
2008-06,2.171,
2008-07,1.599,
2008-08,1.755,
2008-09,2.063,
2008-10,2.007,
2008-11,2.084,
2008-12,1.102,
2009-01,1.143,
2009-02,1.142,
2009-03,1.029,
2009-04,1.034,
2009-05,0.959,
2009-06,0.919,
2009-07,0.877,
2009-08,0.853,
2009-09,0.819,
2009-10,0.795,
2009-11,0.798,
2009-12,0.782,
2010-01,0.786,
2010-02,0.774,
2010-03,0.750,
2010-04,0.770,
2010-05,0.869,
2010-06,0.744,
2010-07,0.708,
2010-08,0.695,
2010-09,0.631,
2010-10,0.628,
2010-11,0.645,
2010-12,0.656,
2011-01,0.659,
2011-02,0.686,
2011-03,0.610,
2011-04,0.617,
2011-05,0.631,
2011-06,0.573,
2011-07,0.567,
2011-08,0.569,
2011-09,0.594,
2011-10,0.583,
2011-11,0.639,
2011-12,0.557,
2012-01,0.571,
2012-02,0.522,
2012-03,0.446,
2012-04,0.479,
2012-05,0.467,
2012-06,0.483,
2012-07,0.469,
2012-08,0.436,
2012-09,0.377,
2012-10,0.360,
2012-11,0.376,
2012-12,0.457,
2013-01,0.390,
2013-02,0.407,
2013-03,0.409,
2013-04,0.419,
2013-05,0.378,
2013-06,0.390,
2013-07,0.348,
2013-08,0.331,
2013-09,0.304,
2013-10,0.296,
2013-11,0.302,
2013-12,0.357,
2014-01,0.323,
2014-02,0.338,
2014-03,0.314,
2014-04,0.324,
2014-05,0.325,
2014-06,0.334,
2014-07,0.311,
2014-08,0.380,
2014-09,0.394,
2014-10,0.400,
