"",BBSF2.M.1.P.00000.REN01.I.F.GMP.Z5.00000.F33100.Z01.B1,BBSF2.M.1.P.00000.REN01.I.F.GMP.Z5.00000.F33100.Z01.B1_FLAGS
"",Public funds / Bonds funds / Short-term debt securities,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:30,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,764,
1993-05,673,
1993-06,604,
1993-07,394,
1993-08,524,
1993-09,350,
1993-10,499,
1993-11,782,
1993-12,109,
1994-01,125,
1994-02,124,
1994-03,316,
1994-04,249,
1994-05,456,
1994-06,369,
1994-07,365,
1994-08,393,
1994-09,838,
1994-10,557,
1994-11,268,
1994-12,169,
1995-01,137,
1995-02,84,
1995-03,50,
1995-04,52,
1995-05,104,
1995-06,128,
1995-07,150,
1995-08,105,
1995-09,136,
1995-10,50,
1995-11,37,
1995-12,46,
1996-01,78,
1996-02,222,
1996-03,260,
1996-04,99,
1996-05,96,
1996-06,295,
1996-07,70,
1996-08,18,
1996-09,17,
1996-10,28,
1996-11,22,
1996-12,45,
1997-01,44,
1997-02,47,
1997-03,75,
1997-04,152,
1997-05,106,
1997-06,65,
1997-07,55,
1997-08,52,
1997-09,53,
1997-10,32,
1997-11,47,
1997-12,80,
1998-01,89,
1998-02,72,
1998-03,127,
1998-04,206,
1998-05,177,
1998-06,231,
1998-07,272,
1998-08,149,
1998-09,123,
1998-10,144,
1998-11,144,
1998-12,142,
1999-01,121,
1999-02,121,
1999-03,189,
1999-04,190,
1999-05,158,
1999-06,91,
1999-07,15,
1999-08,99,
1999-09,128,
1999-10,161,
1999-11,146,
1999-12,129,
2000-01,104,
2000-02,15,
2000-03,21,
2000-04,53,
2000-05,17,
2000-06,91,
2000-07,97,
2000-08,98,
2000-09,78,
2000-10,73,
2000-11,13,
2000-12,16,
2001-01,44,
2001-02,35,
2001-03,37,
2001-04,36,
2001-05,30,
2001-06,51,
2001-07,11,
2001-08,22,
2001-09,19,
2001-10,47,
2001-11,37,
2001-12,26,
2002-01,26,
2002-02,40,
2002-03,108,
2002-04,133,
2002-05,116,
2002-06,39,
2002-07,48,
2002-08,25,
2002-09,23,
2002-10,25,
2002-11,32,
2002-12,40,
2003-01,31,
2003-02,55,
2003-03,21,
2003-04,71,
2003-05,97,
2003-06,92,
2003-07,116,
2003-08,119,
2003-09,69,
2003-10,20,
2003-11,18,
2003-12,28,
2004-01,71,
2004-02,33,
2004-03,26,
2004-04,24,
2004-05,54,
2004-06,61,
2004-07,81,
2004-08,61,
2004-09,85,
2004-10,83,
2004-11,30,
2004-12,108,
2005-01,78,
2005-02,133,
2005-03,176,
2005-04,153,
2005-05,208,
2005-06,241,
2005-07,250,
2005-08,241,
2005-09,189,
2005-10,132,
2005-11,129,
2005-12,140,
2006-01,135,
2006-02,155,
2006-03,164,
2006-04,211,
2006-05,460,
2006-06,607,
2006-07,475,
2006-08,459,
2006-09,357,
2006-10,624,
2006-11,576,
2006-12,526,
2007-01,555,
2007-02,541,
2007-03,598,
2007-04,539,
2007-05,529,
2007-06,557,
2007-07,591,
2007-08,584,
2007-09,578,
2007-10,637,
2007-11,576,
2007-12,577,
2008-01,936,
2008-02,740,
2008-03,728,
2008-04,764,
2008-05,977,
2008-06,872,
2008-07,915,
2008-08,959,
2008-09,848,
2008-10,538,
2008-11,481,
2008-12,358,
2009-01,334,
2009-02,267,
2009-03,247,
2009-04,226,
2009-05,203,
2009-06,154,
2009-07,171,
2009-08,124,
2009-09,570,
2009-10,600,
2009-11,546,
2009-12,147,
2010-01,143,
2010-02,188,
2010-03,348,
2010-04,425,
2010-05,469,
2010-06,487,
2010-07,487,
2010-08,308,
2010-09,272,
2010-10,211,
2010-11,194,
2010-12,238,
2011-01,233,
2011-02,203,
2011-03,178,
2011-04,179,
2011-05,183,
2011-06,160,
2011-07,294,
2011-08,324,
2011-09,562,
2011-10,453,
2011-11,512,
2011-12,552,
2012-01,413,
2012-02,421,
2012-03,438,
2012-04,597,
2012-05,564,
2012-06,471,
2012-07,480,
2012-08,455,
2012-09,509,
2012-10,596,
2012-11,575,
2012-12,529,
2013-01,620,
2013-02,607,
2013-03,683,
2013-04,882,
2013-05,1025,
2013-06,1191,
2013-07,1220,
2013-08,1037,
2013-09,1007,
2013-10,966,
2013-11,735,
2013-12,693,
2014-01,728,
2014-02,710,
2014-03,685,
2014-04,620,
2014-05,633,
2014-06,683,
2014-07,720,
2014-08,640,
2014-09,612,
2014-10,637,
2014-11,692,
