"",BBFB1.Q.N.DE.E14000.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E14000.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:28,
1991-01,-1439.661,
1991-04,-1085.220,
1991-07,-1229.512,
1991-10,-1421.486,
1992-01,-1239.729,
1992-04,-1177.495,
1992-07,-1206.223,
1992-10,-1220.037,
1993-01,-1245.900,
1993-04,-1278.955,
1993-07,-1433.129,
1993-10,-1624.728,
1994-01,-1368.406,
1994-04,-1329.236,
1994-07,-1421.469,
1994-10,-1419.051,
1995-01,-1117.427,
1995-04,-1307.912,
1995-07,-1119.452,
1995-10,-1253.997,
1996-01,-1019.662,
1996-04,-998.497,
1996-07,-1025.787,
1996-10,-997.761,
1997-01,-982.329,
1997-04,-994.060,
1997-07,-930.026,
1997-10,-974.185,
1998-01,-925.673,
1998-04,-803.734,
1998-07,-932.532,
1998-10,-876.382,
1999-01,-777.266,
1999-04,-749.134,
1999-07,-819.941,
1999-10,-727.529,
2000-01,-835.645,
2000-04,-651.519,
2000-07,-774.680,
2000-10,-953.331,
2001-01,-952.306,
2001-04,-797.390,
2001-07,-901.894,
2001-10,-993.502,
2002-01,-990.724,
2002-04,-894.593,
2002-07,-953.827,
2002-10,-947.149,
2003-01,-848.372,
2003-04,-750.278,
2003-07,-940.014,
2003-10,-1028.375,
2004-01,-668.723,
2004-04,-784.753,
2004-07,-851.986,
2004-10,-1010.573,
2005-01,-804.914,
2005-04,-613.648,
2005-07,-772.749,
2005-10,-786.425,
2006-01,-674.971,
2006-04,-571.951,
2006-07,-740.138,
2006-10,-765.526,
2007-01,-730.651,
2007-04,-455.866,
2007-07,-674.545,
2007-10,-736.687,
2008-01,-742.636,
2008-04,-539.226,
2008-07,-717.286,
2008-10,-765.718,
2009-01,-727.191,
2009-04,-453.833,
2009-07,-659.830,
2009-10,-780.671,
2010-01,-779.372,
2010-04,-511.279,
2010-07,-721.713,
2010-10,-674.179,
2011-01,-789.909,
2011-04,-214.927,
2011-07,-714.567,
2011-10,-809.277,
2012-01,-678.196,
2012-04,-286.546,
2012-07,-768.322,
2012-10,-1658.854,
2013-01,-742.320,
2013-04,-332.880,
2013-07,-799.385,
2013-10,-820.674,
2014-01,-641.174,Provisional value
2014-04,-459.127,Provisional value
2014-07,-685.658,Provisional value
