"",BBK01.CEFT0C,BBK01.CEFT0C_FLAGS
"",Savings deposits                                                      debtor: Total           creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:23,
1999-01,3.3,
1999-04,3.5,
1999-07,3.4,
1999-10,3.2,
2000-01,3.2,
2000-04,2.9,
2000-07,2.9,
2000-10,2.7,
2001-01,2.5,
2001-04,2.4,
2001-07,2.3,
2001-10,2.3,
2002-01,2.1,
2002-04,2.0,
2002-07,2.0,
2002-10,2.1,
2003-01,2.0,
2003-04,2.0,
2003-07,2.1,
2003-10,2.0,
2004-01,2.2,
2004-04,2.3,
2004-07,2.5,
2004-10,2.7,
2005-01,2.5,
2005-04,2.7,
2005-07,3.1,
2005-10,2.4,
2006-01,2.3,
2006-04,2.3,
2006-07,2.3,
2006-10,2.1,
2007-01,2.1,
2007-04,1.8,
2007-07,1.6,
2007-10,1.4,
2008-01,1.3,
2008-04,1.2,
2008-07,1.2,
2008-10,1.2,
2009-01,1.7,
2009-04,1.9,
2009-07,2.3,
2009-10,2.6,
2010-01,2.6,
2010-04,2.8,
2010-07,2.9,
2010-10,2.8,
2011-01,2.9,
2011-04,2.7,
2011-07,2.5,
2011-10,2.4,
2012-01,2.3,
2012-04,2.6,
2012-07,2.9,
2012-10,3.1,
2013-01,3.3,
2013-04,3.5,
2013-07,3.7,
2013-10,3.6,
2014-01,3.6,
2014-04,3.5,
2014-07,3.4,
