"",BBFB1.Q.N.DE.NL.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.NL.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:17,
1991-01,769.772,
1991-04,59.526,
1991-07,-2.665,
1991-10,81.227,
1992-01,-38.988,
1992-04,37.493,
1992-07,463.811,
1992-10,425.456,
1993-01,-80.358,
1993-04,188.927,
1993-07,387.028,
1993-10,669.070,
1994-01,-177.704,
1994-04,-401.726,
1994-07,-710.292,
1994-10,-685.274,
1995-01,-51.316,
1995-04,150.980,
1995-07,231.114,
1995-10,169.008,
1996-01,-81.593,
1996-04,-136.033,
1996-07,48.332,
1996-10,250.964,
1997-01,165.269,
1997-04,33.088,
1997-07,-27.143,
1997-10,493.949,
1998-01,-443.918,
1998-04,-52.412,
1998-07,234.198,
1998-10,324.480,
1999-01,-521.875,
1999-04,32.651,
1999-07,550.154,
1999-10,444.592,
2000-01,30.710,
2000-04,-204.991,
2000-07,-137.819,
2000-10,138.814,
2001-01,65.839,
2001-04,86.330,
2001-07,97.086,
2001-10,-37.319,
2002-01,298.225,
2002-04,165.026,
2002-07,771.827,
2002-10,93.570,
2003-01,-56.102,
2003-04,929.635,
2003-07,249.603,
2003-10,-73.001,
2004-01,1020.764,
2004-04,-685.158,
2004-07,5.542,
2004-10,222.759,
2005-01,931.384,
2005-04,-151.367,
2005-07,193.720,
2005-10,-292.528,
2006-01,95.031,
2006-04,115.009,
2006-07,-231.815,
2006-10,1553.291,
2007-01,207.098,
2007-04,866.590,
2007-07,661.501,
2007-10,1267.734,
2008-01,832.729,
2008-04,-329.459,
2008-07,-60.887,
2008-10,-292.768,
2009-01,-781.048,
2009-04,35.806,
2009-07,-156.558,
2009-10,7.767,
2010-01,-49.948,
2010-04,375.845,
2010-07,-242.278,
2010-10,-1380.206,
2011-01,297.893,
2011-04,-38.074,
2011-07,178.742,
2011-10,192.961,
2012-01,52.667,
2012-04,14.738,
2012-07,-360.620,
2012-10,66.059,
2013-01,-2734.760,
2013-04,-236.108,
2013-07,-164.977,
2013-10,-401.349,
2014-01,196.922,Provisional value
2014-04,-474.912,Provisional value
2014-07,41.657,Provisional value
2014-10,-184.964,Provisional value
