"",BBK01.OEAD36M,BBK01.OEAD36M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:21,
2002-01,0.829,
2002-04,0.826,
2002-07,0.812,
2002-10,0.823,
2003-01,0.807,
2003-04,0.857,
2003-07,0.866,
2003-10,0.830,
2004-01,0.786,
2004-04,0.812,
2004-07,0.847,
2004-10,0.788,
2005-01,0.795,
2005-04,0.758,
2005-07,0.759,
2005-10,0.764,
2006-01,0.735,
2006-04,0.739,
2006-07,0.726,
2006-10,0.741,
2007-01,0.759,
2007-04,0.723,
2007-07,0.663,
2007-10,0.675,
2008-01,0.670,
2008-04,0.654,
2008-07,0.708,
2008-10,0.735,
2009-01,0.770,
2009-04,0.776,
2009-07,0.789,
2009-10,0.783,
2010-01,0.835,
2010-04,0.823,
2010-07,0.788,
2010-10,0.761,
2011-01,0.786,
2011-04,0.791,
2011-07,0.771,
2011-10,0.761,
2012-01,0.765,
2012-04,0.761,
2012-07,0.812,
2012-10,0.748,
2013-01,0.755,
2013-04,0.774,
2013-07,0.800,
2013-10,0.785,
2014-01,0.776,
2014-04,0.761,
2014-07,0.732,
