"",BBK01.CEF50N,BBK01.CEF50N_FLAGS
"",Equity and investment fund shares or units                                                     debtor: Total           creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:16,
1999-01,365.6,
1999-04,363.8,
1999-07,343.5,
1999-10,516.1,
2000-01,604.6,
2000-04,601.3,
2000-07,593.5,
2000-10,590.5,
2001-01,575.4,
2001-04,631.4,
2001-07,567.3,
2001-10,550.2,
2002-01,583.7,
2002-04,557.2,
2002-07,429.3,
2002-10,445.0,
2003-01,445.5,
2003-04,498.0,
2003-07,506.6,
2003-10,568.5,
2004-01,575.5,
2004-04,565.9,
2004-07,567.6,
2004-10,611.3,
2005-01,615.1,
2005-04,634.2,
2005-07,680.8,
2005-10,729.7,
2006-01,1138.3,
2006-04,1081.8,
2006-07,1094.7,
2006-10,1084.4,
2007-01,1187.6,
2007-04,1342.0,
2007-07,1339.0,
2007-10,1316.4,
2008-01,936.1,
2008-04,898.6,
2008-07,800.4,
2008-10,659.3,
2009-01,575.9,
2009-04,658.1,
2009-07,770.7,
2009-10,793.2,
2010-01,827.8,
2010-04,797.2,
2010-07,818.9,
2010-10,896.8,
2011-01,908.4,
2011-04,915.6,
2011-07,785.9,
2011-10,815.8,
2012-01,903.0,
2012-04,857.7,
2012-07,928.5,
2012-10,960.6,
2013-01,985.7,
2013-04,991.2,
2013-07,1045.0,
2013-10,1149.0,
2014-01,1156.9,
2014-04,1171.9,
2014-07,1159.1,
