"",BBDA1.M.DE.N.EX.S.A.SK.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.SK.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Slovakia / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:40:00,
1993-01,31719,
1993-02,50610,
1993-03,58812,
1993-04,56438,
1993-05,58217,
1993-06,63807,
1993-07,62435,
1993-08,62977,
1993-09,64666,
1993-10,71681,
1993-11,59063,
1993-12,76896,
1994-01,53058,
1994-02,65224,
1994-03,80518,
1994-04,74262,
1994-05,89935,
1994-06,97387,
1994-07,96297,
1994-08,86392,
1994-09,80797,
1994-10,93343,
1994-11,111617,
1994-12,112247,
1995-01,93923,
1995-02,105245,
1995-03,145196,
1995-04,112928,
1995-05,139941,
1995-06,133943,
1995-07,106550,
1995-08,126701,
1995-09,140812,
1995-10,144870,
1995-11,180191,
1995-12,147021,
1996-01,136864,
1996-02,149442,
1996-03,155695,
1996-04,156299,
1996-05,171092,
1996-06,153356,
1996-07,159564,
1996-08,143176,
1996-09,163130,
1996-10,183319,
1996-11,182355,
1996-12,126418,
1997-01,158358,
1997-02,169383,
1997-03,192320,
1997-04,200550,
1997-05,201842,
1997-06,216160,
1997-07,222157,
1997-08,170159,
1997-09,191497,
1997-10,215152,
1997-11,213293,
1997-12,183326,
1998-01,179028,
1998-02,220121,
1998-03,257624,
1998-04,236070,
1998-05,252627,
1998-06,359641,
1998-07,294485,
1998-08,272598,
1998-09,276353,
1998-10,302726,
1998-11,289018,
1998-12,229537,
1999-01,192116,
1999-02,217833,
1999-03,267926,
1999-04,246930,
1999-05,241697,
1999-06,248770,
1999-07,231513,
1999-08,194606,
1999-09,236798,
1999-10,238379,
1999-11,262394,
1999-12,240987,
2000-01,214925,
2000-02,244406,
2000-03,287725,
2000-04,228342,
2000-05,304092,
2000-06,286987,
2000-07,281273,
2000-08,267118,
2000-09,282490,
2000-10,322379,
2000-11,331341,
2000-12,268018,
2001-01,281499,
2001-02,292370,
2001-03,339632,
2001-04,314329,
2001-05,364028,
2001-06,356276,
2001-07,361494,
2001-08,313142,
2001-09,311848,
2001-10,350348,
2001-11,371011,
2001-12,268653,
2002-01,268833,
2002-02,320100,
2002-03,320535,
2002-04,326383,
2002-05,331194,
2002-06,350527,
2002-07,326967,
2002-08,332388,
2002-09,354534,
2002-10,407407,
2002-11,393977,
2002-12,345857,
2003-01,340669,
2003-02,356017,
2003-03,356535,
2003-04,397210,
2003-05,411526,
2003-06,455637,
2003-07,483214,
2003-08,474996,
2003-09,488139,
2003-10,458950,
2003-11,491204,
2003-12,466674,
2004-01,434682,
2004-02,435720,
2004-03,516996,
2004-04,501709,
2004-05,521769,
2004-06,469177,
2004-07,415469,
2004-08,437344,
2004-09,440475,
2004-10,486260,
2004-11,505309,
2004-12,360225,
2005-01,430126,
2005-02,450400,
2005-03,490612,
2005-04,482606,
2005-05,483689,
2005-06,542008,
2005-07,490370,
2005-08,452780,
2005-09,514974,
2005-10,543679,
2005-11,594137,
2005-12,481745,
2006-01,497988,
2006-02,541467,
2006-03,627094,
2006-04,587210,
2006-05,606657,
2006-06,675245,
2006-07,655274,
2006-08,638438,
2006-09,759490,
2006-10,757364,
2006-11,708797,
2006-12,578222,
2007-01,620963,
2007-02,676239,
2007-03,749651,
2007-04,694973,
2007-05,752007,
2007-06,717774,
2007-07,675391,
2007-08,676279,
2007-09,732238,
2007-10,817758,
2007-11,751037,
2007-12,629928,
2008-01,690121,
2008-02,752737,
2008-03,702565,
2008-04,806496,
2008-05,746348,
2008-06,834221,
2008-07,785780,
2008-08,696816,
2008-09,807271,
2008-10,803029,
2008-11,619416,
2008-12,494205,
2009-01,515581,
2009-02,499561,
2009-03,550208,
2009-04,501974,
2009-05,468797,
2009-06,534686,
2009-07,522783,
2009-08,546388,
2009-09,610714,
2009-10,648504,
2009-11,626274,
2009-12,552455,
2010-01,565378,
2010-02,620839,
2010-03,753126,
2010-04,653477,
2010-05,692658,
2010-06,761341,
2010-07,703243,
2010-08,728239,
2010-09,837744,
2010-10,865241,
2010-11,838607,
2010-12,694620,
2011-01,772008,
2011-02,830724,
2011-03,993974,
2011-04,873634,
2011-05,884893,
2011-06,912665,
2011-07,758656,
2011-08,870469,
2011-09,963278,
2011-10,886505,
2011-11,905158,
2011-12,725189,
2012-01,786582,
2012-02,898526,
2012-03,929919,
2012-04,866836,
2012-05,916375,
2012-06,915340,
2012-07,869055,
2012-08,871225,
2012-09,891099,
2012-10,919104,
2012-11,866846,
2012-12,609313,
2013-01,803944,
2013-02,846096,
2013-03,842291,
2013-04,875960,
2013-05,874144,
2013-06,942104,
2013-07,833697,
2013-08,873604,
2013-09,982664,
2013-10,1045290,
2013-11,974927,
2013-12,742690,
2014-01,920597,
2014-02,920288,
2014-03,953601,
2014-04,955358,
2014-05,927353,
2014-06,953942,
2014-07,895997,
2014-08,853654,
2014-09,1038045,
2014-10,1052971,
2014-11,970166,
2014-12,837494,
