"",BBFB1.Q.N.DE.IT.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IT.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:55,
1991-01,389.854,
1991-04,390.894,
1991-07,422.237,
1991-10,423.709,
1992-01,402.947,
1992-04,373.352,
1992-07,406.551,
1992-10,373.739,
1993-01,515.960,
1993-04,625.660,
1993-07,570.625,
1993-10,506.164,
1994-01,354.435,
1994-04,171.363,
1994-07,228.998,
1994-10,208.546,
1995-01,254.997,
1995-04,277.044,
1995-07,243.862,
1995-10,246.392,
1996-01,388.474,
1996-04,469.256,
1996-07,401.119,
1996-10,779.274,
1997-01,343.244,
1997-04,493.138,
1997-07,499.933,
1997-10,483.524,
1998-01,544.327,
1998-04,684.018,
1998-07,703.183,
1998-10,634.447,
1999-01,695.087,
1999-04,813.457,
1999-07,779.079,
1999-10,966.724,
2000-01,1234.998,
2000-04,1569.703,
2000-07,1471.358,
2000-10,1268.658,
2001-01,1256.662,
2001-04,1336.403,
2001-07,1322.370,
2001-10,1205.598,
2002-01,1454.399,
2002-04,1608.766,
2002-07,1598.214,
2002-10,1486.677,
2003-01,1396.650,
2003-04,1470.444,
2003-07,1358.589,
2003-10,1267.297,
2004-01,1240.018,
2004-04,1717.316,
2004-07,1436.871,
2004-10,1528.534,
2005-01,1377.228,
2005-04,1736.861,
2005-07,1429.856,
2005-10,1580.839,
2006-01,1563.154,
2006-04,1816.239,
2006-07,1351.373,
2006-10,1511.397,
2007-01,-668.101,
2007-04,-316.668,
2007-07,-78.545,
2007-10,690.013,
2008-01,1385.376,
2008-04,2668.270,
2008-07,2104.962,
2008-10,2022.739,
2009-01,1730.794,
2009-04,1706.738,
2009-07,1426.180,
2009-10,1125.845,
2010-01,1257.376,
2010-04,1140.847,
2010-07,1065.971,
2010-10,1259.334,
2011-01,1318.898,
2011-04,1403.859,
2011-07,1408.546,
2011-10,1433.096,
2012-01,1249.393,
2012-04,1374.926,
2012-07,1461.603,
2012-10,1544.099,
2013-01,1757.512,
2013-04,1848.254,
2013-07,1772.292,
2013-10,1804.991,
2014-01,1529.975,Provisional value
2014-04,1612.197,Provisional value
2014-07,1696.790,Provisional value
