"",BBFB1.Q.N.DE.TR.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.TR.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:51,
1991-01,48.415,
1991-04,60.114,
1991-07,53.545,
1991-10,67.683,
1992-01,53.019,
1992-04,58.229,
1992-07,67.200,
1992-10,92.748,
1993-01,61.861,
1993-04,66.522,
1993-07,91.553,
1993-10,88.249,
1994-01,66.255,
1994-04,64.312,
1994-07,78.257,
1994-10,72.526,
1995-01,79.337,
1995-04,66.356,
1995-07,104.748,
1995-10,96.822,
1996-01,95.840,
1996-04,101.168,
1996-07,127.288,
1996-10,118.005,
1997-01,128.455,
1997-04,137.706,
1997-07,137.792,
1997-10,184.857,
1998-01,147.093,
1998-04,134.012,
1998-07,154.762,
1998-10,147.167,
1999-01,151.359,
1999-04,113.606,
1999-07,154.374,
1999-10,156.581,
2000-01,161.802,
2000-04,140.279,
2000-07,153.605,
2000-10,186.181,
2001-01,130.321,
2001-04,126.170,
2001-07,135.482,
2001-10,140.340,
2002-01,138.028,
2002-04,138.088,
2002-07,137.335,
2002-10,151.766,
2003-01,132.019,
2003-04,136.552,
2003-07,148.441,
2003-10,152.073,
2004-01,152.713,
2004-04,153.023,
2004-07,172.842,
2004-10,207.333,
2005-01,172.521,
2005-04,175.751,
2005-07,185.465,
2005-10,215.184,
2006-01,215.896,
2006-04,187.240,
2006-07,224.518,
2006-10,232.464,
2007-01,195.747,
2007-04,223.544,
2007-07,221.575,
2007-10,267.086,
2008-01,263.993,
2008-04,248.694,
2008-07,270.615,
2008-10,287.483,
2009-01,250.837,
2009-04,240.665,
2009-07,273.776,
2009-10,286.834,
2010-01,272.945,
2010-04,270.209,
2010-07,279.815,
2010-10,305.506,
2011-01,297.642,
2011-04,300.379,
2011-07,330.843,
2011-10,375.041,
2012-01,346.603,
2012-04,361.101,
2012-07,356.921,
2012-10,429.307,
2013-01,365.773,
2013-04,414.921,
2013-07,400.173,
2013-10,461.796,
2014-01,410.826,Provisional value
2014-04,421.305,Provisional value
2014-07,420.408,Provisional value
