"",BBK01.OEBI05I,BBK01.OEBI05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:39,
2002-01,2.117,
2002-04,2.026,
2002-07,2.043,
2002-10,2.066,
2003-01,2.003,
2003-04,1.986,
2003-07,1.939,
2003-10,1.995,
2004-01,1.978,
2004-04,1.907,
2004-07,1.965,
2004-10,1.997,
2005-01,2.544,
2005-04,2.591,
2005-07,2.813,
2005-10,2.192,
2006-01,2.313,
2006-04,2.289,
2006-07,2.183,
2006-10,2.213,
2007-01,2.246,
2007-04,2.242,
2007-07,2.306,
2007-10,2.368,
2008-01,2.366,
2008-04,2.347,
2008-07,2.395,
2008-10,2.425,
2009-01,2.522,
2009-04,1.902,
2009-07,2.002,
2009-10,2.021,
2010-01,2.085,
2010-04,2.086,
2010-07,2.115,
2010-10,4.920,
2011-01,6.019,
2011-04,6.330,
2011-07,6.698,
2011-10,7.458,
2012-01,8.204,
2012-04,8.450,
2012-07,8.551,
2012-10,8.626,
2013-01,8.695,
2013-04,8.713,
2013-07,8.758,
2013-10,8.866,
2014-01,8.891,
2014-04,8.993,
2014-07,9.054,
