"",BBK01.OEAH68P,BBK01.OEAH68P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:47,
2002-01,6.795,
2002-04,6.656,
2002-07,6.457,
2002-10,6.654,
2003-01,6.877,
2003-04,6.963,
2003-07,7.001,
2003-10,7.250,
2004-01,7.317,
2004-04,7.390,
2004-07,7.398,
2004-10,7.495,
2005-01,7.818,
2005-04,7.837,
2005-07,7.815,
2005-10,7.921,
2006-01,7.842,
2006-04,7.769,
2006-07,7.642,
2006-10,7.711,
2007-01,7.582,
2007-04,7.452,
2007-07,7.280,
2007-10,7.273,
2008-01,7.094,
2008-04,6.998,
2008-07,6.777,
2008-10,6.851,
2009-01,6.904,
2009-04,6.945,
2009-07,7.052,
2009-10,7.242,
2010-01,7.423,
2010-04,7.528,
2010-07,7.594,
2010-10,7.787,
2011-01,7.852,
2011-04,7.908,
2011-07,7.858,
2011-10,7.965,
2012-01,8.012,
2012-04,7.954,
2012-07,7.916,
2012-10,8.069,
2013-01,7.951,
2013-04,7.890,
2013-07,7.800,
2013-10,7.814,
2014-01,7.772,
2014-04,7.668,
2014-07,7.577,
