"",BBK01.CEFFNC,BBK01.CEFFNC_FLAGS
"",long-term loans                                            debtor: Rest of the world                  creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:32,
1999-01,21.9,
1999-04,21.9,
1999-07,22.0,
1999-10,22.2,
2000-01,22.3,
2000-04,22.7,
2000-07,23.3,
2000-10,23.2,
2001-01,23.0,
2001-04,22.8,
2001-07,22.9,
2001-10,23.3,
2002-01,23.2,
2002-04,23.0,
2002-07,22.9,
2002-10,22.9,
2003-01,22.5,
2003-04,22.5,
2003-07,22.2,
2003-10,22.0,
2004-01,21.7,
2004-04,21.7,
2004-07,21.5,
2004-10,26.1,
2005-01,23.9,
2005-04,22.7,
2005-07,17.8,
2005-10,17.6,
2006-01,16.7,
2006-04,16.2,
2006-07,9.5,
2006-10,9.2,
2007-01,9.1,
2007-04,9.0,
2007-07,9.0,
2007-10,8.3,
2008-01,8.3,
2008-04,8.2,
2008-07,8.2,
2008-10,7.8,
2009-01,7.8,
2009-04,7.7,
2009-07,17.8,
2009-10,17.7,
2010-01,20.8,
2010-04,30.9,
2010-07,30.3,
2010-10,64.5,
2011-01,60.3,
2011-04,53.3,
2011-07,54.5,
2011-10,58.3,
2012-01,66.7,
2012-04,79.0,
2012-07,78.5,
2012-10,94.8,
2013-01,95.4,
2013-04,99.7,
2013-07,103.0,
2013-10,101.3,
2014-01,100.7,
2014-04,101.9,
2014-07,101.9,
