"",BBK01.OEAE08Q,BBK01.OEAE08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:20,
2002-01,0.605,
2002-04,0.796,
2002-07,0.896,
2002-10,0.831,
2003-01,0.673,
2003-04,0.727,
2003-07,0.648,
2003-10,0.745,
2004-01,0.678,
2004-04,1.188,
2004-07,1.207,
2004-10,1.281,
2005-01,1.272,
2005-04,1.380,
2005-07,1.432,
2005-10,1.658,
2006-01,1.531,
2006-04,1.695,
2006-07,1.887,
2006-10,1.898,
2007-01,1.957,
2007-04,1.950,
2007-07,2.027,
2007-10,1.960,
2008-01,1.369,
2008-04,1.461,
2008-07,1.459,
2008-10,1.260,
2009-01,1.150,
2009-04,1.063,
2009-07,1.154,
2009-10,2.221,
2010-01,0.992,
2010-04,0.937,
2010-07,0.691,
2010-10,0.612,
2011-01,0.559,
2011-04,0.453,
2011-07,0.376,
2011-10,0.383,
2012-01,0.361,
2012-04,0.299,
2012-07,0.276,
2012-10,0.229,
2013-01,0.216,
2013-04,0.222,
2013-07,0.216,
2013-10,0.200,
2014-01,0.198,
2014-04,0.212,
2014-07,0.204,
