"",BBK01.OELL01U,BBK01.OELL01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:43,
2002-01,3.749,
2002-04,3.714,
2002-07,3.723,
2002-10,3.826,
2003-01,3.827,
2003-04,3.799,
2003-07,3.758,
2003-10,3.826,
2004-01,3.844,
2004-04,3.836,
2004-07,3.813,
2004-10,4.123,
2005-01,4.061,
2005-04,4.049,
2005-07,4.019,
2005-10,4.034,
2006-01,4.056,
2006-04,4.025,
2006-07,3.997,
2006-10,3.885,
2007-01,3.913,
2007-04,3.931,
2007-07,3.969,
2007-10,4.012,
2008-01,4.058,
2008-04,4.037,
2008-07,3.929,
2008-10,4.064,
2009-01,4.050,
2009-04,4.062,
2009-07,4.069,
2009-10,4.173,
2010-01,4.194,
2010-04,4.192,
2010-07,4.189,
2010-10,4.249,
2011-01,4.216,
2011-04,4.228,
2011-07,4.266,
2011-10,4.343,
2012-01,4.345,
2012-04,4.370,
2012-07,4.400,
2012-10,4.444,
2013-01,4.499,
2013-04,4.502,
2013-07,4.508,
2013-10,4.577,
2014-01,4.557,
2014-04,4.577,
2014-07,4.584,
