"",BBK01.OEHL07G,BBK01.OEHL07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:07,
2002-01,39.771,
2002-04,39.600,
2002-07,39.423,
2002-10,39.923,
2003-01,39.885,
2003-04,39.628,
2003-07,39.564,
2003-10,40.371,
2004-01,40.684,
2004-04,40.703,
2004-07,40.789,
2004-10,41.685,
2005-01,42.720,
2005-04,42.627,
2005-07,42.424,
2005-10,42.572,
2006-01,42.483,
2006-04,42.244,
2006-07,41.959,
2006-10,42.012,
2007-01,41.333,
2007-04,40.516,
2007-07,39.591,
2007-10,39.205,
2008-01,38.047,
2008-04,37.005,
2008-07,35.931,
2008-10,36.318,
2009-01,37.112,
2009-04,38.022,
2009-07,39.283,
2009-10,41.340,
2010-01,42.599,
2010-04,43.077,
2010-07,43.366,
2010-10,44.250,
2011-01,44.645,
2011-04,44.762,
2011-07,44.512,
2011-10,44.795,
2012-01,44.748,
2012-04,44.580,
2012-07,44.236,
2012-10,44.510,
2013-01,44.372,
2013-04,44.274,
2013-07,44.442,
2013-10,45.009,
2014-01,45.212,
2014-04,45.098,
2014-07,44.978,
