"",BBK01.OEAE30O,BBK01.OEAE30O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:00,
2002-01,1.031,
2002-04,1.061,
2002-07,0.736,
2002-10,0.738,
2003-01,0.809,
2003-04,0.761,
2003-07,0.755,
2003-10,0.915,
2004-01,1.022,
2004-04,1.021,
2004-07,0.982,
2004-10,0.956,
2005-01,0.998,
2005-04,1.034,
2005-07,0.992,
2005-10,0.944,
2006-01,0.906,
2006-04,0.838,
2006-07,0.835,
2006-10,0.888,
2007-01,0.896,
2007-04,0.872,
2007-07,0.999,
2007-10,1.005,
2008-01,1.092,
2008-04,1.143,
2008-07,0.794,
2008-10,0.519,
2009-01,0.500,
2009-04,0.602,
2009-07,0.576,
2009-10,0.636,
2010-01,0.691,
2010-04,0.692,
2010-07,0.713,
2010-10,0.829,
2011-01,0.814,
2011-04,0.808,
2011-07,0.767,
2011-10,0.740,
2012-01,0.767,
2012-04,0.789,
2012-07,0.764,
2012-10,0.762,
2013-01,0.759,
2013-04,0.686,
2013-07,0.734,
2013-10,0.699,
2014-01,0.728,
2014-04,0.775,
2014-07,0.663,
