"",BBK01.OECL03R,BBK01.OECL03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:35,
2002-01,0.043,
2002-04,0.039,
2002-07,0.039,
2002-10,0.041,
2003-01,0.039,
2003-04,0.041,
2003-07,0.038,
2003-10,0.037,
2004-01,0.037,
2004-04,0.038,
2004-07,0.034,
2004-10,0.049,
2005-01,0.132,
2005-04,0.131,
2005-07,0.125,
2005-10,0.120,
2006-01,0.118,
2006-04,0.119,
2006-07,0.121,
2006-10,0.122,
2007-01,0.132,
2007-04,0.134,
2007-07,0.154,
2007-10,0.178,
2008-01,0.204,
2008-04,0.218,
2008-07,0.273,
2008-10,0.288,
2009-01,0.266,
2009-04,0.254,
2009-07,0.206,
2009-10,0.173,
2010-01,0.137,
2010-04,0.125,
2010-07,0.108,
2010-10,0.090,
2011-01,0.087,
2011-04,0.085,
2011-07,0.072,
2011-10,0.088,
2012-01,0.095,
2012-04,0.091,
2012-07,0.085,
2012-10,0.062,
2013-01,0.048,
2013-04,0.047,
2013-07,0.046,
2013-10,0.042,
2014-01,0.038,
2014-04,0.037,
2014-07,0.033,
