"",BBK01.TUB622,BBK01.TUB622_FLAGS
"",Liabilities to euro area credit institutions related to monetary policy operations denominated in euro / current acounts (covering the minimum reserve system) / Deutsche Bundesbank,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-02 10:43:07,
2002-01,46116,
2002-02,41544,
2002-03,41994,
2002-04,38905,
2002-05,44899,
2002-06,41288,
2002-07,40638,
2002-08,44187,
2002-09,40973,
2002-10,41295,
2002-11,40940,
2002-12,44791,
2003-01,40765,
2003-02,38064,
2003-03,48048,
2003-04,36312,
2003-05,36236,
2003-06,38796,
2003-07,39501,
2003-08,41033,
2003-09,41718,
2003-10,41992,
2003-11,36377,
2003-12,44523,
2004-01,39765,
2004-02,36724,
2004-03,31005,
2004-04,38284,
2004-05,43372,
2004-06,36578,
2004-07,39277,
2004-08,40947,
2004-09,40089,
2004-10,35477,
2004-11,48289,
2004-12,41218,
2005-01,40805,
2005-02,40195,
2005-03,38075,
2005-04,39766,
2005-05,41278,
2005-06,33744,
2005-07,39717,
2005-08,39006,
2005-09,38729,
2005-10,37302,
2005-11,41745,
2005-12,46301,
2006-01,45352,
2006-02,38502,
2006-03,39666,
2006-04,38736,
2006-05,51424,
2006-06,39375,
2006-07,52381,
2006-08,45939,
2006-09,45454,
2006-10,47787,
2006-11,39178,
2006-12,47913,
2007-01,37783,
2007-02,43627,
2007-03,47840,
2007-04,43044,
2007-05,45060,
2007-06,39565,
2007-07,46534,
2007-08,31535,
2007-09,42220,
2007-10,43130,
2007-11,52736,
2007-12,64032,
2008-01,42428,
2008-02,54159,
2008-03,69324,
2008-04,53258,
2008-05,50436,
2008-06,55134,
2008-07,40859,
2008-08,50460,
2008-09,65782,
2008-10,48406,
2008-11,52531,
2008-12,100678,
2009-01,49331,
2009-02,54186,
2009-03,53095,
2009-04,48275,
2009-05,71118,
2009-06,75149,
2009-07,44515,
2009-08,46194,
2009-09,76075,
2009-10,50651,
2009-11,59031,
2009-12,76665,
2010-01,60908,
2010-02,55237,
2010-03,82328,
2010-04,58603,
2010-05,52808,
2010-06,108627,
2010-07,61821,
2010-08,62444,
2010-09,64929,
2010-10,62145,
2010-11,54805,
2010-12,71407,
2011-01,50528,
2011-02,58218,
2011-03,63861,
2011-04,47922,
2011-05,54328,
2011-06,63260,
2011-07,52527,
2011-08,60508,
2011-09,69786,
2011-10,59859,
2011-11,49610,
2011-12,76408,
2012-01,34639,
2012-02,29892,
2012-03,30929,
2012-04,32999,
2012-05,33437,
2012-06,33317,
2012-07,178330,
2012-08,201421,
2012-09,173131,
2012-10,177857,
2012-11,184137,
2012-12,129607,
2013-01,128275,
2013-02,100839,
2013-03,108730,
2013-04,102885,
2013-05,88294,
2013-06,89568,
2013-07,90201,
2013-08,90774,
2013-09,97699,
2013-10,61472,
2013-11,63981,
2013-12,83877,
2014-01,64089,
2014-02,52954,
2014-03,50159,
2014-04,68398,
2014-05,62195,
2014-06,59999,
2014-07,49895,
2014-08,59878,
2014-09,81111,
2014-10,62548,
2014-11,54133,
2014-12,81176,
