"",BBK01.OECB16N,BBK01.OECB16N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:52,
2002-01,6.035,
2002-04,5.930,
2002-07,5.861,
2002-10,5.719,
2003-01,5.449,
2003-04,5.431,
2003-07,5.278,
2003-10,5.184,
2004-01,5.133,
2004-04,5.009,
2004-07,4.935,
2004-10,4.818,
2005-01,5.103,
2005-04,5.044,
2005-07,5.041,
2005-10,4.963,
2006-01,4.930,
2006-04,4.906,
2006-07,4.911,
2006-10,4.817,
2007-01,4.817,
2007-04,4.831,
2007-07,4.823,
2007-10,4.742,
2008-01,4.715,
2008-04,4.645,
2008-07,4.574,
2008-10,4.438,
2009-01,4.384,
2009-04,5.365,
2009-07,5.274,
2009-10,4.857,
2010-01,4.776,
2010-04,4.767,
2010-07,4.719,
2010-10,4.659,
2011-01,4.629,
2011-04,4.506,
2011-07,4.476,
2011-10,4.367,
2012-01,4.229,
2012-04,4.157,
2012-07,4.110,
2012-10,4.101,
2013-01,4.034,
2013-04,4.011,
2013-07,4.025,
2013-10,3.993,
2014-01,3.983,
2014-04,3.963,
2014-07,3.897,
