"",BBFB1.Q.N.DE.PT.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.PT.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Portugal,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:32,
1991-01,104.536,
1991-04,-45.985,
1991-07,134.324,
1991-10,137.646,
1992-01,436.533,
1992-04,1188.473,
1992-07,506.994,
1992-10,-416.539,
1993-01,217.650,
1993-04,-267.726,
1993-07,83.928,
1993-10,480.490,
1994-01,135.184,
1994-04,25.591,
1994-07,-235.438,
1994-10,-509.698,
1995-01,1516.942,
1995-04,93.478,
1995-07,340.298,
1995-10,-816.061,
1996-01,1659.598,
1996-04,-272.521,
1996-07,-301.604,
1996-10,-1454.672,
1997-01,672.611,
1997-04,-163.126,
1997-07,634.138,
1997-10,-110.806,
1998-01,1520.509,
1998-04,-601.431,
1998-07,225.077,
1998-10,346.586,
1999-01,3450.857,
1999-04,-1668.771,
1999-07,1215.567,
1999-10,-80.601,
2000-01,760.675,
2000-04,1488.745,
2000-07,-2887.411,
2000-10,-847.013,
2001-01,4597.289,
2001-04,-1089.649,
2001-07,1151.096,
2001-10,712.230,
2002-01,2616.155,
2002-04,4201.294,
2002-07,-1234.695,
2002-10,-4610.476,
2003-01,1191.538,
2003-04,2511.785,
2003-07,696.997,
2003-10,-2864.255,
2004-01,1809.968,
2004-04,2074.393,
2004-07,-744.983,
2004-10,168.918,
2005-01,543.840,
2005-04,-1172.737,
2005-07,3400.240,
2005-10,773.853,
2006-01,3009.022,
2006-04,-2622.277,
2006-07,-660.805,
2006-10,1050.478,
2007-01,473.347,
2007-04,2266.825,
2007-07,203.991,
2007-10,-508.439,
2008-01,276.941,
2008-04,-2474.054,
2008-07,321.356,
2008-10,-3134.334,
2009-01,-2530.781,
2009-04,-524.290,
2009-07,385.081,
2009-10,-424.247,
2010-01,77.102,
2010-04,-23.480,
2010-07,-1061.128,
2010-10,234.662,
2011-01,-493.722,
2011-04,-397.570,
2011-07,-949.878,
2011-10,-1264.659,
2012-01,-606.508,
2012-04,982.432,
2012-07,73.055,
2012-10,-923.693,
2013-01,657.258,
2013-04,948.474,
2013-07,-320.998,
2013-10,714.222,
2014-01,129.286,Provisional value
2014-04,29.391,Provisional value
2014-07,-298.077,Provisional value
2014-10,310.878,Provisional value
