"",BBK01.OECL04O,BBK01.OECL04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:41,
2002-01,0.428,
2002-04,0.421,
2002-07,0.421,
2002-10,0.441,
2003-01,0.392,
2003-04,0.331,
2003-07,0.268,
2003-10,0.275,
2004-01,0.251,
2004-04,0.256,
2004-07,0.190,
2004-10,0.217,
2005-01,0.259,
2005-04,0.259,
2005-07,0.256,
2005-10,0.269,
2006-01,0.284,
2006-04,0.300,
2006-07,0.312,
2006-10,0.372,
2007-01,0.422,
2007-04,0.483,
2007-07,0.657,
2007-10,0.808,
2008-01,0.906,
2008-04,1.010,
2008-07,1.259,
2008-10,1.295,
2009-01,1.115,
2009-04,1.023,
2009-07,0.787,
2009-10,0.614,
2010-01,0.370,
2010-04,0.320,
2010-07,0.242,
2010-10,0.218,
2011-01,0.182,
2011-04,0.224,
2011-07,0.212,
2011-10,0.227,
2012-01,0.247,
2012-04,0.228,
2012-07,0.198,
2012-10,0.128,
2013-01,0.082,
2013-04,0.129,
2013-07,0.135,
2013-10,0.124,
2014-01,0.119,
2014-04,0.100,
2014-07,0.090,
