"",BBK01.OEAO05N,BBK01.OEAO05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:15,
2002-01,0.524,
2002-04,0.379,
2002-07,0.441,
2002-10,3.333,
2003-01,0.530,
2003-04,0.342,
2003-07,0.382,
2003-10,2.996,
2004-01,0.420,
2004-04,0.273,
2004-07,0.310,
2004-10,2.078,
2005-01,0.446,
2005-04,0.254,
2005-07,0.307,
2005-10,2.028,
2006-01,0.293,
2006-04,0.221,
2006-07,0.260,
2006-10,2.092,
2007-01,0.346,
2007-04,0.244,
2007-07,0.294,
2007-10,2.221,
2008-01,0.383,
2008-04,0.266,
2008-07,0.342,
2008-10,2.342,
2009-01,0.391,
2009-04,0.273,
2009-07,0.336,
2009-10,2.104,
2010-01,0.365,
2010-04,0.235,
2010-07,0.316,
2010-10,1.729,
2011-01,0.317,
2011-04,0.222,
2011-07,0.301,
2011-10,1.523,
2012-01,0.334,
2012-04,0.222,
2012-07,0.284,
2012-10,1.417,
2013-01,0.332,
2013-04,0.206,
2013-07,0.195,
2013-10,1.005,
2014-01,0.218,
2014-04,0.168,
2014-07,0.163,
