"",BBK01.PQA352,BBK01.PQA352_FLAGS
"",Lending to domestic enterprises and resident individuals / Medium-term / All categories of banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:19:55,
1950-04,0.359,
1950-07,0.426,
1950-10,0.491,
1951-01,0.596,
1951-04,0.673,
1951-07,0.718,
1951-10,0.769,
1952-01,0.790,
1952-04,0.841,
1952-07,0.906,
1952-10,1.037,
1953-01,1.149,
1953-04,1.281,
1953-07,1.460,
1953-10,1.686,
1954-01,1.703,
1954-04,1.820,
1954-07,1.932,
1954-10,2.090,
1955-01,2.145,
1955-04,2.316,
1955-07,2.421,
1955-10,2.534,
1956-01,2.678,
1956-04,2.712,
1956-07,2.849,
1956-10,3.024,
1957-01,2.881,
1957-04,2.971,
1957-07,3.090,
1957-10,3.227,
1958-01,3.317,
1958-04,3.468,
1958-07,3.564,
1958-10,3.720,
1959-01,3.787,
1959-04,4.263,
1959-07,4.715,
1959-10,5.120,
1960-01,5.157,
1960-04,5.372,
1960-07,5.557,
1960-10,5.782,
1961-01,5.966,
1961-04,6.428,
1961-07,6.642,
1961-10,6.817,
1962-01,6.906,
1962-04,7.395,
1962-07,7.878,
1962-10,8.610,
1963-01,8.892,
1963-04,9.368,
1963-07,9.559,
1963-10,9.989,
1964-01,9.940,
1964-04,10.533,
1964-07,10.902,
1964-10,11.136,
1965-01,11.170,
1965-04,11.782,
1965-07,12.513,
1965-10,12.943,
1966-01,13.428,
1966-04,14.170,
1966-07,14.706,
1966-10,14.976,
1967-01,14.838,
1967-04,15.145,
1967-07,15.159,
1967-10,15.490,
1968-01,15.357,
1968-04,16.060,
1968-07,15.941,
1968-10,16.556,
1969-01,16.585,
1969-04,17.155,
1969-07,17.416,
1969-10,18.888,
1970-01,19.415,
1970-04,20.593,
1970-07,22.034,
1970-10,23.783,
1971-01,24.618,
1971-04,25.920,
1971-07,27.956,
1971-10,29.998,
1972-01,30.205,
1972-04,31.483,
1972-07,33.154,
1972-10,35.773,
1973-01,37.463,
1973-04,39.372,
1973-07,39.051,
1973-10,39.371,
1974-01,38.922,
1974-04,39.493,
1974-07,40.281,
1974-10,40.630,
1975-01,38.823,
1975-04,38.307,
1975-07,38.362,
1975-10,39.672,
1976-01,39.432,
1976-04,40.719,
1976-07,41.601,
1976-10,43.527,
1977-01,43.014,
1977-04,44.405,
1977-07,44.939,
1977-10,46.775,
1978-01,46.416,
1978-04,47.374,
1978-07,48.731,
1978-10,50.990,
1979-01,51.203,
1979-04,53.234,
1979-07,54.750,
1979-10,56.574,
1980-01,55.778,
1980-04,56.846,
1980-07,57.376,
1980-10,60.069,
1981-01,60.220,
1981-04,61.869,
1981-07,63.674,
1981-10,65.996,
1982-01,65.739,
1982-04,67.233,
1982-07,68.469,
1982-10,70.338,
1983-01,68.209,
1983-04,69.557,
1983-07,71.609,
1983-10,74.454,
1984-01,72.485,
1984-04,73.580,
1984-07,73.926,
1984-10,73.764,
1985-01,71.139,
1985-04,71.247,
1985-07,70.845,
1985-10,73.316,
1986-01,71.465,
1986-04,71.149,
1986-07,70.743,
1986-10,70.175,
1987-01,68.203,
1987-04,68.307,
1987-07,68.172,
1987-10,67.826,
1988-01,66.509,
1988-04,67.305,
1988-07,67.262,
1988-10,67.103,
1989-01,66.562,
1989-04,67.445,
1989-07,68.258,
1989-10,70.847,
1990-01,72.182,
1990-04,74.303,
1990-07,76.829,
1990-10,81.773,
1991-01,84.645,
1991-04,90.134,
1991-07,95.761,
1991-10,109.275,
1992-01,112.270,
1992-04,116.922,
1992-07,126.847,
1992-10,134.734,
1993-01,134.666,
1993-04,134.982,
1993-07,132.620,
1993-10,129.841,
1994-01,127.384,
1994-04,122.889,
1994-07,119.910,
1994-10,116.743,
1995-01,112.188,
1995-04,113.013,
1995-07,109.559,
1995-10,109.480,
1996-01,108.992,
1996-04,109.092,
1996-07,110.019,
1996-10,110.331,
1997-01,108.463,
1997-04,109.184,
1997-07,110.001,
1997-10,110.560,
1998-01,109.082,
1998-04,108.543,
1998-07,109.168,
1998-10,105.727,
1999-01,187.788,
1999-04,186.302,
1999-07,186.329,
1999-10,182.464,
2000-01,183.284,
2000-04,186.474,
2000-07,192.097,
2000-10,192.849,
2001-01,190.549,
2001-04,189.396,
2001-07,190.043,
2001-10,191.138,
2002-01,189.382,
2002-04,191.190,
2002-07,192.072,
2002-10,193.451,
2003-01,193.107,
2003-04,193.491,
2003-07,195.014,
2003-10,194.978,
2004-01,193.899,
2004-04,198.177,
2004-07,199.215,
2004-10,194.314,
2005-01,192.253,
2005-04,190.934,
2005-07,195.125,
2005-10,194.642,
2006-01,193.185,
2006-04,196.297,
2006-07,198.890,
2006-10,194.523,
2007-01,196.488,
2007-04,198.773,
2007-07,203.227,
2007-10,207.660,
2008-01,211.461,
2008-04,213.276,
2008-07,215.393,
2008-10,222.002,
2009-01,224.369,
2009-04,232.974,
2009-07,237.226,
2009-10,242.713,
2010-01,237.514,
2010-04,237.189,
2010-07,236.179,
2010-10,238.121,
2011-01,238.619,
2011-04,234.651,
2011-07,245.215,
2011-10,247.862,
2012-01,246.437,
2012-04,248.350,
2012-07,249.025,
2012-10,249.703,
2013-01,249.611,
2013-04,250.538,
2013-07,247.641,
2013-10,248.031,
2014-01,249.093,
2014-04,248.909,
2014-07,250.268,
2014-10,251.653,
