"",BBFB1.Q.N.DE.IT.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IT.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:49,
1991-01,7541.059,
1991-04,7574.876,
1991-07,7433.791,
1991-10,7667.289,
1992-01,7511.664,
1992-04,7526.534,
1992-07,7014.174,
1992-10,7504.907,
1993-01,6104.587,
1993-04,5807.211,
1993-07,5977.255,
1993-10,6330.684,
1994-01,6070.483,
1994-04,6585.242,
1994-07,6544.831,
1994-10,6905.020,
1995-01,7196.253,
1995-04,7379.780,
1995-07,7069.921,
1995-10,7064.035,
1996-01,7320.074,
1996-04,7404.734,
1996-07,7024.699,
1996-10,7699.555,
1997-01,7348.373,
1997-04,7803.468,
1997-07,7686.071,
1997-10,8021.645,
1998-01,7975.956,
1998-04,8453.288,
1998-07,7777.190,
1998-10,8288.317,
1999-01,7921.109,
1999-04,8451.350,
1999-07,7986.846,
1999-10,8318.689,
2000-01,8411.513,
2000-04,8843.391,
2000-07,8429.951,
2000-10,9513.377,
2001-01,8497.313,
2001-04,9209.822,
2001-07,8104.603,
2001-10,8616.224,
2002-01,7797.401,
2002-04,8499.086,
2002-07,7985.197,
2002-10,8633.281,
2003-01,8342.345,
2003-04,8514.006,
2003-07,8240.062,
2003-10,8693.320,
2004-01,8377.112,
2004-04,8574.015,
2004-07,8625.066,
2004-10,9218.521,
2005-01,8252.446,
2005-04,9262.820,
2005-07,8695.412,
2005-10,9475.749,
2006-01,9597.697,
2006-04,10122.756,
2006-07,10043.676,
2006-10,10851.357,
2007-01,10802.959,
2007-04,11385.871,
2007-07,10749.275,
2007-10,11199.412,
2008-01,11496.584,
2008-04,12199.207,
2008-07,11777.244,
2008-10,10861.809,
2009-01,9617.808,
2009-04,8990.302,
2009-07,8833.510,
2009-10,9380.051,
2010-01,9546.638,
2010-04,10761.686,
2010-07,10394.194,
2010-10,10956.984,
2011-01,11678.827,
2011-04,12461.150,
2011-07,11631.904,
2011-10,11747.152,
2012-01,12149.849,
2012-04,12433.476,
2012-07,11501.800,
2012-10,11546.273,
2013-01,11489.235,
2013-04,11805.614,
2013-07,11427.480,
2013-10,11698.478,
2014-01,12218.070,Provisional value
2014-04,12217.574,Provisional value
2014-07,11659.369,Provisional value
