"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.CA.00122.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.CA.00122.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Canada / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:35,
2009-09,158,
2009-10,111,
2009-11,104,
2009-12,103,
2010-01,103,
2010-02,113,
2010-03,118,
2010-04,123,
2010-05,134,
2010-06,140,
2010-07,138,
2010-08,124,
2010-09,86,
2010-10,87,
2010-11,85,
2010-12,85,
2011-01,84,
2011-02,83,
2011-03,77,
2011-04,75,
2011-05,62,
2011-06,59,
2011-07,55,
2011-08,51,
2011-09,50,
2011-10,49,
2011-11,49,
2011-12,49,
2012-01,48,
2012-02,47,
2012-03,47,
2012-04,56,
2012-05,56,
2012-06,58,
2012-07,62,
2012-08,62,
2012-09,43,
2012-10,46,
2012-11,40,
2012-12,30,
2013-01,19,
2013-02,19,
2013-03,10,
2013-04,9,
2013-05,11,
2013-06,10,
2013-07,47,
2013-08,49,
2013-09,59,
2013-10,71,
2013-11,72,
2013-12,78,
2014-01,83,
2014-02,74,
2014-03,81,
2014-04,87,
2014-05,87,
2014-06,111,
2014-07,126,
2014-08,124,
2014-09,182,
2014-10,274,
2014-11,280,
