"",BBK01.QUF817,BBK01.QUF817_FLAGS
"",All foreign subsidiaries: Short-term liabilities to foreign banks / Malta / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:15:46,
2004-12,0.208,
2005-01,0.204,
2005-02,0.181,
2005-03,0.019,
2005-04,0.019,
2005-05,0.024,
2005-06,0.010,
2005-07,0.014,
2005-08,0.050,
2005-09,0.045,
2005-10,0.036,
2005-11,0.045,
2005-12,0.055,
2006-01,0.058,
2006-02,0.043,
2006-03,0.061,
2006-04,0.050,
2006-05,0.047,
2006-06,0.056,
2006-07,0.054,
2006-08,0.041,
2006-09,0.050,
2006-10,0.041,
2006-11,0.050,
2006-12,0.044,
2007-01,0.000,
2007-02,0.001,
2007-03,0.001,
2007-04,0.000,
2007-05,0.000,
2007-06,0.001,
2007-07,0.000,
2007-08,0.002,
2007-09,.,No value available
2007-10,.,No value available
2007-11,.,No value available
2007-12,.,No value available
2008-01,0.001,
2008-02,0.001,
2008-03,0.001,
2008-04,0.001,
2008-05,0.001,
2008-06,0.000,
2008-07,0.004,
2008-08,0.002,
2008-09,0.001,
2008-10,.,No value available
2008-11,.,No value available
2008-12,.,No value available
2009-01,.,No value available
2009-02,0.003,
2009-03,.,No value available
2009-04,.,No value available
2009-05,.,No value available
2009-06,.,No value available
2009-07,.,No value available
2009-08,.,No value available
2009-09,.,No value available
2009-10,.,No value available
2009-11,.,No value available
2009-12,.,No value available
2010-01,.,No value available
2010-02,.,No value available
2010-03,1.002,
2010-04,1.016,
2010-05,1.088,
2010-06,0.992,
2010-07,0.870,
2010-08,0.997,
2010-09,0.770,
2010-10,0.319,
2010-11,0.737,
2010-12,0.911,
2011-01,1.520,
2011-02,1.521,
2011-03,1.521,
2011-04,1.596,
2011-05,1.600,
2011-06,1.600,
2011-07,1.623,
2011-08,1.603,
2011-09,1.355,
2011-10,1.477,
2011-11,1.798,
2011-12,1.337,
2012-01,1.346,
2012-02,1.352,
2012-03,0.707,
2012-04,0.287,
2012-05,0.283,
2012-06,0.042,
2012-07,0.147,
2012-08,0.086,
2012-09,0.916,
2012-10,0.852,
2012-11,0.799,
2012-12,0.755,
2013-01,0.816,
2013-02,1.305,
2013-03,1.336,
2013-04,0.921,
2013-05,1.036,
2013-06,1.563,
2013-07,1.568,
2013-08,2.288,
2013-09,1.253,
2013-10,0.394,
2013-11,0.662,
2013-12,0.691,
2014-01,0.845,
2014-02,0.085,
2014-03,0.093,
2014-04,0.092,
2014-05,0.061,
2014-06,0.060,
2014-07,0.045,
2014-08,0.040,
2014-09,0.047,
2014-10,0.001,
2014-11,.,No value available
