"",BBK01.OEHB18Q,BBK01.OEHB18Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:52,
2002-01,0.663,
2002-04,0.660,
2002-07,0.655,
2002-10,0.650,
2003-01,0.630,
2003-04,0.620,
2003-07,0.641,
2003-10,0.620,
2004-01,0.575,
2004-04,0.576,
2004-07,0.580,
2004-10,0.570,
2005-01,0.541,
2005-04,0.504,
2005-07,0.509,
2005-10,0.491,
2006-01,0.460,
2006-04,0.467,
2006-07,0.452,
2006-10,0.458,
2007-01,0.416,
2007-04,0.420,
2007-07,0.407,
2007-10,0.419,
2008-01,0.392,
2008-04,0.377,
2008-07,0.379,
2008-10,0.379,
2009-01,0.367,
2009-04,0.365,
2009-07,0.358,
2009-10,0.343,
2010-01,0.344,
2010-04,0.320,
2010-07,0.325,
2010-10,0.311,
2011-01,0.295,
2011-04,0.298,
2011-07,0.293,
2011-10,0.278,
2012-01,0.268,
2012-04,0.264,
2012-07,0.257,
2012-10,0.247,
2013-01,0.237,
2013-04,0.234,
2013-07,0.242,
2013-10,0.238,
2014-01,0.235,
2014-04,0.223,
2014-07,0.221,
