"",BBFB1.M.N.DE.W1.S12T.S1.T.L.FA.P.F._Z._T._X.N,BBFB1.M.N.DE.W1.S12T.S1.T.L.FA.P.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Monetary financial institutions / Portfolio investment / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:40,
1991-01,-254.096,
1991-02,1615.103,
1991-03,-1364.920,
1991-04,1028.224,
1991-05,899.400,
1991-06,1551.227,
1991-07,1608.726,
1991-08,1426.666,
1991-09,711.222,
1991-10,1299.715,
1991-11,552.178,
1991-12,237.715,
1992-01,944.752,
1992-02,612.881,
1992-03,-1057.466,
1992-04,418.858,
1992-05,1010.706,
1992-06,835.294,
1992-07,310.023,
1992-08,588.797,
1992-09,3129.827,
1992-10,3680.105,
1992-11,2436.981,
1992-12,7951.029,
1993-01,3248.239,
1993-02,3947.133,
1993-03,2029.381,
1993-04,475.766,
1993-05,2701.217,
1993-06,6705.778,
1993-07,6472.207,
1993-08,2587.285,
1993-09,2198.745,
1993-10,3601.233,
1993-11,2336.471,
1993-12,-2130.254,
1994-01,2208.252,
1994-02,-1721.817,
1994-03,-3164.383,
1994-04,-2490.390,
1994-05,256.907,
1994-06,2758.271,
1994-07,3345.517,
1994-08,2152.616,
1994-09,1020.459,
1994-10,1989.923,
1994-11,1796.459,
1994-12,3197.711,
1995-01,-788.082,
1995-02,419.683,
1995-03,-1697.124,
1995-04,573.336,
1995-05,3403.349,
1995-06,4146.228,
1995-07,3124.213,
1995-08,2211.409,
1995-09,2239.355,
1995-10,1295.955,
1995-11,1772.262,
1995-12,2856.047,
1996-01,7956.872,
1996-02,7691.212,
1996-03,-36.266,
1996-04,-2041.676,
1996-05,5562.081,
1996-06,6462.860,
1996-07,1820.985,
1996-08,2815.087,
1996-09,1783.733,
1996-10,2319.433,
1996-11,5365.522,
1996-12,2427.568,
1997-01,2795.877,
1997-02,1439.804,
1997-03,5969.591,
1997-04,-1909.810,
1997-05,582.218,
1997-06,4083.895,
1997-07,7281.058,
1997-08,4336.447,
1997-09,3644.233,
1997-10,359.738,
1997-11,1907.798,
1997-12,2527.217,
1998-01,3659.574,
1998-02,8849.012,
1998-03,9019.193,
1998-04,1499.443,
1998-05,6428.184,
1998-06,8233.620,
1998-07,10046.426,
1998-08,4347.712,
1998-09,3496.664,
1998-10,-3621.923,
1998-11,2110.041,
1998-12,-25.657,
1999-01,9632.834,
1999-02,12531.403,
1999-03,7130.282,
1999-04,13522.666,
1999-05,5684.781,
1999-06,7901.457,
1999-07,4144.145,
1999-08,9770.701,
1999-09,18273.559,
1999-10,2942.946,
1999-11,15072.608,
1999-12,2575.756,
2000-01,-7011.182,
2000-02,7916.082,
2000-03,5999.864,
2000-04,7841.030,
2000-05,9074.938,
2000-06,10876.733,
2000-07,9567.453,
2000-08,929.765,
2000-09,4403.858,
2000-10,5148.530,
2000-11,511.761,
2000-12,14966.035,
2001-01,9104.812,
2001-02,581.765,
2001-03,3837.583,
2001-04,-4033.487,
2001-05,9954.904,
2001-06,10642.787,
2001-07,-913.557,
2001-08,4891.696,
2001-09,2642.886,
2001-10,6447.544,
2001-11,20112.985,
2001-12,-976.855,
2002-01,3207.453,
2002-02,2703.535,
2002-03,4055.284,
2002-04,8612.969,
2002-05,7586.188,
2002-06,10575.143,
2002-07,12001.865,
2002-08,9109.464,
2002-09,8571.645,
2002-10,-616.508,
2002-11,2935.030,
2002-12,-2798.672,
2003-01,-712.128,
2003-02,12268.052,
2003-03,5085.105,
2003-04,5902.720,
2003-05,8311.662,
2003-06,-405.757,
2003-07,7946.123,
2003-08,-8115.219,
2003-09,9576.887,
2003-10,7678.217,
2003-11,5119.424,
2003-12,1014.949,
2004-01,6594.176,
2004-02,7793.440,
2004-03,12468.228,
2004-04,13957.045,
2004-05,3710.120,
2004-06,3269.264,
2004-07,10294.573,
2004-08,6946.150,
2004-09,11408.076,
2004-10,3964.018,
2004-11,4128.138,
2004-12,-4706.349,
2005-01,11419.305,
2005-02,11534.599,
2005-03,12306.240,
2005-04,14719.721,
2005-05,3609.344,
2005-06,17308.397,
2005-07,1376.711,
2005-08,3928.180,
2005-09,6399.289,
2005-10,10499.066,
2005-11,-9855.996,
2005-12,-6543.878,
2006-01,8353.248,
2006-02,8307.479,
2006-03,11279.078,
2006-04,-6267.212,
2006-05,724.620,
2006-06,5147.772,
2006-07,2817.033,
2006-08,2994.272,
2006-09,1724.671,
2006-10,5041.916,
2006-11,9269.013,
2006-12,12455.076,
2007-01,20562.176,
2007-02,14604.618,
2007-03,15097.719,
2007-04,11413.311,
2007-05,7351.001,
2007-06,21400.556,
2007-07,12920.410,
2007-08,12445.801,
2007-09,9882.564,
2007-10,21117.214,
2007-11,19919.948,
2007-12,2348.541,
2008-01,13874.170,
2008-02,460.588,
2008-03,7852.385,
2008-04,-120.878,
2008-05,-3930.604,
2008-06,7386.145,
2008-07,8040.748,
2008-08,1438.265,
2008-09,-10359.101,
2008-10,-9920.126,
2008-11,-11858.026,
2008-12,-22371.917,
2009-01,-6562.448,
2009-02,-13614.011,
2009-03,-5410.858,
2009-04,-10453.270,
2009-05,4722.447,
2009-06,-7131.614,
2009-07,-10570.007,
2009-08,5436.832,
2009-09,-14259.511,
2009-10,-10393.047,
2009-11,-7886.438,
2009-12,1869.387,
2010-01,-3052.300,
2010-02,-6147.771,
2010-03,7123.363,
2010-04,5621.656,
2010-05,-9997.698,
2010-06,-11782.725,
2010-07,-12566.813,
2010-08,633.099,
