"",BBK01.OEAG02K,BBK01.OEAG02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:19,
2002-01,0.490,
2002-04,0.485,
2002-07,0.694,
2002-10,0.606,
2003-01,0.577,
2003-04,0.562,
2003-07,0.430,
2003-10,0.569,
2004-01,0.536,
2004-04,0.542,
2004-07,0.254,
2004-10,0.193,
2005-01,0.172,
2005-04,0.144,
2005-07,0.144,
2005-10,0.193,
2006-01,0.288,
2006-04,0.189,
2006-07,0.189,
2006-10,0.162,
2007-01,0.208,
2007-04,0.196,
2007-07,0.133,
2007-10,0.221,
2008-01,0.158,
2008-04,0.238,
2008-07,0.268,
2008-10,0.173,
2009-01,0.058,
2009-04,0.084,
2009-07,0.079,
2009-10,0.111,
2010-01,0.088,
2010-04,0.032,
2010-07,0.005,
2010-10,0.027,
2011-01,0.035,
2011-04,0.005,
2011-07,0.055,
2011-10,0.056,
2012-01,0.057,
2012-04,0.046,
2012-07,0.138,
2012-10,0.074,
2013-01,0.078,
2013-04,0.076,
2013-07,0.076,
2013-10,0.084,
2014-01,0.078,
2014-04,0.079,
2014-07,0.049,
