"",BBNZ1.Q.DE.N.G.0111.A,BBNZ1.Q.DE.N.G.0111.A_FLAGS
"",Germany / National accounts / Use of GDP / Imports of goods and services / At current prices,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-24 08:20:50,
1991-01,92.572,
1991-04,96.253,
1991-07,97.479,
1991-10,96.714,
1992-01,97.228,
1992-04,95.866,
1992-07,95.948,
1992-10,97.259,
1993-01,85.888,
1993-04,88.068,
1993-07,90.429,
1993-10,90.394,
1994-01,89.836,
1994-04,95.001,
1994-07,98.280,
1994-10,100.108,
1995-01,99.980,
1995-04,101.489,
1995-07,103.175,
1995-10,104.342,
1996-01,102.741,
1996-04,104.668,
1996-07,107.044,
1996-10,111.035,
1997-01,110.688,
1997-04,117.810,
1997-07,123.164,
1997-10,124.552,
1998-01,123.250,
1998-04,127.712,
1998-07,128.688,
1998-10,127.521,
1999-01,124.455,
1999-04,133.575,
1999-07,140.093,
1999-10,145.523,
2000-01,146.612,
2000-04,155.459,
2000-07,164.897,
2000-10,179.838,
2001-01,163.019,
2001-04,166.537,
2001-07,164.714,
2001-10,162.020,
2002-01,146.459,
2002-04,156.907,
2002-07,157.703,
2002-10,161.927,
2003-01,156.754,
2003-04,157.633,
2003-07,161.244,
2003-10,166.588,
2004-01,160.188,
2004-04,169.593,
2004-07,177.661,
2004-10,183.003,
2005-01,167.886,
2005-04,184.869,
2005-07,193.973,
2005-10,205.299,
2006-01,203.655,
2006-04,209.633,
2006-07,218.810,
2006-10,226.981,
2007-01,220.636,
2007-04,224.315,
2007-07,234.038,
2007-10,234.945,
2008-01,232.582,
2008-04,240.400,
2008-07,252.520,
2008-10,234.875,
2009-01,202.451,
2009-04,192.508,
2009-07,206.973,
2009-10,206.683,
2010-01,213.430,
2010-04,238.723,
2010-07,249.591,
2010-10,254.354,
2011-01,259.705,
2011-04,269.132,
2011-07,276.737,
2011-10,273.364,
2012-01,273.799,
2012-04,272.677,
2012-07,280.275,
2012-10,274.375,
2013-01,270.253,
2013-04,276.282,
2013-07,288.911,
2013-10,281.431,
2014-01,274.818,
2014-04,279.262,
2014-07,293.830,
2014-10,288.818,
