"",BBEX3.M.TRY.EUR.CA.AA.A01,BBEX3.M.TRY.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Turkey / EUR 1 = TRY ... (buying),
unit,TRY (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:33,
2005-01,1.7320,
2005-02,1.6985,
2005-03,1.7757,
2005-04,1.7737,
2005-05,1.7077,
2005-06,1.6167,
2005-07,1.6060,
2005-08,1.6627,
2005-09,1.6161,
2005-10,1.6345,
2005-11,1.5947,
2005-12,1.5904,
2006-01,1.5972,
2006-02,1.5541,
2006-03,1.6211,
2006-04,1.6410,
2006-05,1.9748,
2006-06,2.0095,
2006-07,1.8971,
2006-08,1.8819,
2006-09,1.8971,
2006-10,1.8450,
2006-11,1.9211,
2006-12,1.8586,
2007-01,1.8432,
2007-02,1.8397,
2007-03,1.8490,
2007-04,1.8086,
2007-05,1.7801,
2007-06,1.7696,
2007-07,1.7777,
2007-08,1.8022,
2007-09,1.7129,
2007-10,1.7077,
2007-11,1.7465,
2007-12,1.7102,
2008-01,1.7339,
2008-02,1.7772,
2008-03,2.0156,
2008-04,1.9894,
2008-05,1.8925,
2008-06,1.9271,
2008-07,1.8481,
2008-08,1.7454,
2008-09,1.7978,
2008-10,1.9588,
2008-11,2.0215,
2008-12,2.1408,
2009-01,2.1084,
2009-02,2.1442,
2009-03,2.2258,
2009-04,2.1113,
2009-05,2.1655,
2009-06,2.1469,
2009-07,2.0778,
2009-08,2.1380,
2009-09,2.1603,
2009-10,2.2055,
2009-11,2.2297,
2009-12,2.1603,
2010-01,2.0818,
2010-02,2.0774,
2010-03,2.0523,
2010-04,1.9601,
2010-05,1.9216,
2010-06,1.9217,
2010-07,1.9644,
2010-08,1.9268,
2010-09,1.9754,
2010-10,1.9746,
2010-11,1.9624,
2010-12,2.0491,
2011-01,2.1716,
2011-02,2.1948,
2011-03,2.1816,
2011-04,2.2380,
2011-05,2.2769,
2011-06,2.3492,
2011-07,2.3928,
2011-08,2.5186,
2011-09,2.5157,
2011-10,2.4555,
2011-11,2.4634,
2011-12,2.4592,
2012-01,2.3396,
2012-02,2.3503,
2012-03,2.3554,
2012-04,2.3173,
2012-05,2.2794,
2012-06,2.2590,
2012-07,2.2087,
2012-08,2.2683,
2012-09,2.2929,
2012-10,2.3216,
2012-11,2.3108,
2012-12,2.3517,
2013-01,2.3805,
2013-02,2.3627,
2013-03,2.3206,
2013-04,2.3501,
2013-05,2.4208,
2013-06,2.5109,
2013-07,2.5539,
2013-08,2.6930,
2013-09,2.7484,
2013-10,2.7361,
2013-11,2.7423,
2013-12,2.9365,
2014-01,3.1003,
2014-02,3.0508,
2014-03,3.0072,
2014-04,2.9350,
2014-05,2.8476,
2014-06,2.8919,
2014-07,2.8135,
2014-08,2.8528,
2014-09,2.8914,
2014-10,2.7902,
2014-11,2.7644,
2014-12,2.8207,
2015-01,2.7136,
"","General: Currency conversion effective from 1 January 2005: 1,000,000 Turkish lira (TRL) = 1 New Turkish lira (TRY), designated as Turkish lira (TRY) since 1 January 2009.",
"","Source: Central Bank of Turkey, Ankara.",
