"",BBEX3.A.BSD.USD.CA.AA.A04,BBEX3.A.BSD.USD.CA.AA.A04_FLAGS
"",Exchange rates for the US dollar in the Bahamas / USD 1 = BSD ... (buying),
unit,BSD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:13:17,
1992,0.9950,
1993,0.9950,
1994,0.9950,
1995,0.9950,
1996,0.9950,
1997,0.9950,
1998,0.9950,
1999,0.9950,
2000,0.9950,
2001,0.9950,
2002,0.9950,
2003,0.9950,
2004,0.9950,
2005,0.9950,
2006,0.9950,
2007,0.9950,
2008,0.9950,
2009,0.9950,
2010,0.9950,
2011,0.9950,
2012,0.9950,
2013,0.9950,
2014,0.9950,
"",General: The Bahamian dollar is pegged to the US dollar.,
"","Source: The Central Bank of the Bahamas, Nassau.",
