"",BBK01.OEHL08U,BBK01.OEHL08U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:20,
2002-01,5.835,
2002-04,5.752,
2002-07,5.704,
2002-10,5.860,
2003-01,5.927,
2003-04,5.956,
2003-07,6.053,
2003-10,6.368,
2004-01,6.463,
2004-04,6.510,
2004-07,6.534,
2004-10,6.692,
2005-01,6.751,
2005-04,6.740,
2005-07,6.739,
2005-10,6.730,
2006-01,6.676,
2006-04,6.627,
2006-07,6.490,
2006-10,6.529,
2007-01,6.392,
2007-04,6.240,
2007-07,6.060,
2007-10,6.126,
2008-01,6.073,
2008-04,5.888,
2008-07,5.772,
2008-10,5.790,
2009-01,5.941,
2009-04,6.080,
2009-07,6.374,
2009-10,6.585,
2010-01,6.808,
2010-04,6.918,
2010-07,7.076,
2010-10,7.340,
2011-01,7.507,
2011-04,7.459,
2011-07,7.489,
2011-10,7.599,
2012-01,7.616,
2012-04,7.607,
2012-07,7.594,
2012-10,7.731,
2013-01,7.878,
2013-04,7.911,
2013-07,7.948,
2013-10,8.018,
2014-01,8.043,
2014-04,8.008,
2014-07,8.027,
