"",BBK01.OEXO06V,BBK01.OEXO06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:18,
2002-01,1.501,
2002-04,1.430,
2002-07,1.438,
2002-10,1.468,
2003-01,1.419,
2003-04,1.358,
2003-07,1.348,
2003-10,1.362,
2004-01,1.331,
2004-04,0.974,
2004-07,0.949,
2004-10,0.935,
2005-01,1.003,
2005-04,0.994,
2005-07,0.848,
2005-10,0.875,
2006-01,0.890,
2006-04,0.895,
2006-07,0.897,
2006-10,1.005,
2007-01,1.208,
2007-04,1.288,
2007-07,1.384,
2007-10,1.569,
2008-01,1.674,
2008-04,1.718,
2008-07,1.759,
2008-10,2.103,
2009-01,2.019,
2009-04,1.963,
2009-07,1.953,
2009-10,1.815,
2010-01,1.654,
2010-04,1.604,
2010-07,1.582,
2010-10,1.750,
2011-01,1.895,
2011-04,1.886,
2011-07,1.890,
2011-10,1.849,
2012-01,1.778,
2012-04,1.762,
2012-07,1.764,
2012-10,1.613,
2013-01,1.490,
2013-04,1.401,
2013-07,1.378,
2013-10,1.361,
2014-01,1.343,
2014-04,1.311,
2014-07,1.415,
