"",BBK01.OEYB02G,BBK01.OEYB02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:22,
2002-01,18.277,
2002-04,19.175,
2002-07,20.740,
2002-10,18.972,
2003-01,18.534,
2003-04,21.284,
2003-07,17.316,
2003-10,18.684,
2004-01,18.934,
2004-04,17.732,
2004-07,16.453,
2004-10,18.418,
2005-01,18.969,
2005-04,19.539,
2005-07,21.918,
2005-10,20.916,
2006-01,22.625,
2006-04,22.942,
2006-07,25.080,
2006-10,23.872,
2007-01,26.423,
2007-04,30.379,
2007-07,35.934,
2007-10,42.209,
2008-01,38.411,
2008-04,35.166,
2008-07,35.940,
2008-10,38.951,
2009-01,41.281,
2009-04,40.149,
2009-07,41.444,
2009-10,39.543,
2010-01,41.891,
2010-04,42.776,
2010-07,45.044,
2010-10,41.032,
2011-01,44.116,
2011-04,40.691,
2011-07,40.137,
2011-10,36.866,
2012-01,39.801,
2012-04,41.740,
2012-07,43.458,
2012-10,36.189,
2013-01,38.286,
2013-04,33.128,
2013-07,29.117,
2013-10,24.702,
2014-01,26.697,
2014-04,26.476,
2014-07,24.883,
