"",BBK01.OEXB17T,BBK01.OEXB17T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:16,
2002-01,1.351,
2002-04,1.365,
2002-07,1.388,
2002-10,1.473,
2003-01,1.492,
2003-04,1.533,
2003-07,1.537,
2003-10,1.549,
2004-01,1.546,
2004-04,1.564,
2004-07,1.585,
2004-10,1.498,
2005-01,1.479,
2005-04,1.499,
2005-07,1.462,
2005-10,1.404,
2006-01,1.390,
2006-04,1.436,
2006-07,1.473,
2006-10,1.538,
2007-01,1.572,
2007-04,1.588,
2007-07,1.591,
2007-10,1.592,
2008-01,1.549,
2008-04,1.523,
2008-07,1.531,
2008-10,1.540,
2009-01,1.513,
2009-04,1.512,
2009-07,1.477,
2009-10,1.483,
2010-01,1.482,
2010-04,1.482,
2010-07,1.482,
2010-10,1.472,
2011-01,1.470,
2011-04,1.465,
2011-07,1.479,
2011-10,1.494,
2012-01,1.488,
2012-04,1.499,
2012-07,1.486,
2012-10,1.475,
2013-01,1.474,
2013-04,1.471,
2013-07,1.483,
2013-10,1.479,
2014-01,1.491,
2014-04,1.513,
2014-07,1.518,
