"",BBK01.OXA8Z3,BBK01.OXA8Z3_FLAGS
"",Other liabilities / Trading portfolio derivatives / Total / All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:24:42,
2010-12,967.869,
2011-01,877.086,
2011-02,836.808,
2011-03,777.216,
2011-04,769.417,
2011-05,822.878,
2011-06,743.576,
2011-07,869.176,
2011-08,1038.573,
2011-09,1169.984,
2011-10,1048.118,
2011-11,1031.642,
2011-12,1123.859,
2012-01,1127.681,
2012-02,1090.668,
2012-03,1037.389,
2012-04,1068.220,
2012-05,1310.035,
2012-06,1149.520,
2012-07,1225.290,
2012-08,1190.741,
2012-09,1143.414,
2012-10,1077.668,
2012-11,1063.469,
2012-12,1034.420,
2013-01,931.490,
2013-02,933.741,
2013-03,926.337,
2013-04,953.879,
2013-05,846.698,
2013-06,767.944,
2013-07,750.575,
2013-08,700.913,
2013-09,711.772,
2013-10,717.183,
2013-11,714.177,
2013-12,645.116,
2014-01,668.999,
2014-02,644.789,
2014-03,628.371,
2014-04,634.193,
2014-05,666.396,
2014-06,670.404,
2014-07,687.024,
2014-08,765.225,
2014-09,756.773,
2014-10,755.634,
2014-11,800.153,
2014-12,826.307,Provisional value
