"",BBFN1.M.DE.N.1.A.JP.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.JP.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Japan,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:38,
1994-12,2.230,
1995-01,2.188,
1995-02,2.347,
1995-03,2.244,
1995-04,2.347,
1995-05,2.119,
1995-06,2.505,
1995-07,2.885,
1995-08,2.687,
1995-09,2.622,
1995-10,2.912,
1995-11,2.574,
1995-12,2.353,
1996-01,2.979,
1996-02,2.933,
1996-03,3.066,
1996-04,3.238,
1996-05,3.428,
1996-06,3.340,
1996-07,3.773,
1996-08,3.856,
1996-09,3.937,
1996-10,4.134,
1996-11,3.644,
1996-12,3.287,
1997-01,3.944,
1997-02,4.079,
1997-03,3.967,
1997-04,3.461,
1997-05,3.306,
1997-06,3.114,
1997-07,3.222,
1997-08,3.124,
1997-09,2.878,
1997-10,3.090,
1997-11,2.848,
1997-12,2.906,
1998-01,2.982,
1998-02,2.920,
1998-03,2.924,
1998-04,2.792,
1998-05,2.573,
1998-06,2.581,
1998-07,2.638,
1998-08,2.635,
1998-09,2.683,
1998-10,3.158,
1998-11,3.259,
1998-12,2.778,
1999-01,2.915,
1999-02,2.905,
1999-03,3.185,
1999-04,2.808,
1999-05,2.593,
1999-06,2.984,
1999-07,2.953,
1999-08,3.264,
1999-09,2.783,
1999-10,3.158,
1999-11,3.206,
1999-12,2.956,
2000-01,3.187,
2000-02,3.464,
2000-03,3.590,
2000-04,3.732,
2000-05,3.325,
2000-06,3.325,
2000-07,3.281,
2000-08,3.251,
2000-09,3.363,
2000-10,3.596,
2000-11,3.403,
2000-12,3.243,
2001-01,3.264,
2001-02,3.347,
2001-03,3.717,
2001-04,4.324,
2001-05,4.243,
2001-06,4.239,
2001-07,4.264,
2001-08,3.630,
2001-09,3.514,
2001-10,3.939,
2001-11,3.300,
2001-12,3.253,
2002-01,3.343,
2002-02,3.270,
2002-03,3.260,
2002-04,3.417,
2002-05,3.357,
2002-06,3.423,
2002-07,3.613,
2002-08,3.436,
2002-09,3.627,
2002-10,3.733,
2002-11,3.616,
2002-12,3.534,
2003-01,3.500,
2003-02,3.377,
2003-03,3.744,
2003-04,3.404,
2003-05,3.328,
2003-06,3.218,
2003-07,3.357,
2003-08,3.023,
2003-09,3.310,
2003-10,3.401,
2003-11,3.381,
2003-12,3.587,
2004-01,3.518,
2004-02,3.596,
2004-03,3.689,
2004-04,3.519,
2004-05,3.560,
2004-06,3.648,
2004-07,3.591,
2004-08,3.740,
2004-09,3.663,
2004-10,3.660,
2004-11,3.529,
2004-12,3.779,
2005-01,3.536,
2005-02,3.567,
2005-03,3.641,
2005-04,3.829,
2005-05,3.614,
2005-06,4.089,
2005-07,4.105,
2005-08,4.088,
2005-09,4.183,
2005-10,3.851,
2005-11,4.262,
2005-12,4.335,
2006-01,5.168,
2006-02,5.274,
2006-03,4.345,
2006-04,3.973,
2006-05,4.090,
2006-06,3.993,
2006-07,3.987,
2006-08,3.876,
2006-09,4.103,
2006-10,4.219,
2006-11,4.097,
2006-12,3.880,
2007-01,4.429,
2007-02,4.086,
2007-03,4.203,
2007-04,3.942,
2007-05,3.860,
2007-06,3.891,
2007-07,3.942,
2007-08,4.092,
2007-09,4.172,
2007-10,4.384,
2007-11,4.322,
2007-12,4.108,
2008-01,4.240,
2008-02,4.152,
2008-03,4.313,
2008-04,4.278,
2008-05,4.156,
2008-06,4.583,
2008-07,4.414,
2008-08,5.067,
2008-09,4.665,
2008-10,4.993,
2008-11,5.201,
2008-12,5.501,
2009-01,4.667,
2009-02,4.328,
2009-03,5.017,
2009-04,4.392,
2009-05,4.488,
2009-06,4.673,
2009-07,4.595,
2009-08,4.389,
2009-09,4.681,
2009-10,4.590,
2009-11,4.583,
2009-12,4.837,
2010-01,4.676,
2010-02,4.576,
2010-03,4.806,
2010-04,5.061,
2010-05,5.429,
2010-06,5.563,
2010-07,5.516,
2010-08,5.425,
2010-09,5.491,
2010-10,5.523,
2010-11,5.459,
2010-12,5.402,
2011-01,5.069,
2011-02,5.073,
2011-03,5.026,
2011-04,4.748,
2011-05,4.744,
2011-06,4.822,
2011-07,5.032,
2011-08,5.028,
2011-09,5.279,
2011-10,5.515,
2011-11,5.544,
2011-12,5.609,
2012-01,5.297,
2012-02,5.001,
2012-03,5.223,
2012-04,5.272,
2012-05,4.921,
2012-06,5.176,
2012-07,4.981,
2012-08,4.835,
2012-09,4.819,
2012-10,4.921,
2012-11,4.624,
2012-12,4.579,
2013-01,4.272,
2013-02,4.356,
2013-03,4.675,
2013-04,4.485,
2013-05,4.019,
2013-06,4.272,
2013-07,4.193,
2013-08,4.315,
2013-09,4.655,
2013-10,4.522,
2013-11,4.656,
2013-12,4.492,
2014-01,4.563,
2014-02,4.526,
2014-03,4.557,
2014-04,4.489,
2014-05,4.381,
2014-06,4.525,
2014-07,4.746,
2014-08,4.626,
2014-09,4.742,
2014-10,4.792,
2014-11,4.418,
2014-12,4.639,
