"",BBK01.OELB07K,BBK01.OELB07K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:48,
2002-01,0.255,
2002-04,0.273,
2002-07,0.283,
2002-10,0.260,
2003-01,0.255,
2003-04,0.254,
2003-07,0.270,
2003-10,0.271,
2004-01,0.267,
2004-04,0.247,
2004-07,0.246,
2004-10,0.267,
2005-01,0.259,
2005-04,0.252,
2005-07,0.267,
2005-10,0.260,
2006-01,0.254,
2006-04,0.244,
2006-07,0.243,
2006-10,0.215,
2007-01,0.212,
2007-04,0.206,
2007-07,0.196,
2007-10,0.171,
2008-01,0.172,
2008-04,0.178,
2008-07,0.172,
2008-10,0.175,
2009-01,0.174,
2009-04,0.166,
2009-07,0.151,
2009-10,0.151,
2010-01,0.144,
2010-04,0.138,
2010-07,0.139,
2010-10,0.138,
2011-01,0.143,
2011-04,0.184,
2011-07,0.175,
2011-10,0.179,
2012-01,0.172,
2012-04,0.219,
2012-07,0.232,
2012-10,0.228,
2013-01,0.236,
2013-04,0.238,
2013-07,0.253,
2013-10,0.246,
2014-01,0.255,
2014-04,0.249,
2014-07,0.250,
