"",BBSF2.M.1.T.00000.HED01.I.F.AKT.U201.00000.000000.Z01.00,BBSF2.M.1.T.00000.HED01.I.F.AKT.U201.00000.000000.Z01.00_FLAGS
"","Funds total / Hedgefunds / Shares / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:13,
2009-09,38,
2009-10,40,
2009-11,39,
2009-12,42,
2010-01,49,
2010-02,49,
2010-03,51,
2010-04,51,
2010-05,50,
2010-06,48,
2010-07,58,
2010-08,56,
2010-09,56,
2010-10,60,
2010-11,63,
2010-12,68,
2011-01,68,
2011-02,66,
2011-03,64,
2011-04,66,
2011-05,65,
2011-06,62,
2011-07,61,
2011-08,62,
2011-09,57,
2011-10,66,
2011-11,59,
2011-12,64,
2012-01,69,
2012-02,75,
2012-03,77,
2012-04,79,
2012-05,74,
2012-06,81,
2012-07,81,
2012-08,80,
2012-09,83,
2012-10,86,
2012-11,84,
2012-12,87,
2013-01,88,
2013-02,90,
2013-03,96,
2013-04,96,
2013-05,110,
2013-06,115,
2013-07,117,
2013-08,121,
2013-09,125,
2013-10,134,
2013-11,137,
2013-12,135,
2014-01,138,
2014-02,140,
2014-03,151,
2014-04,152,
2014-05,154,
2014-06,137,
2014-07,129,
2014-08,131,
2014-09,126,
2014-10,128,
2014-11,136,
